"","tok","RF_PoStag","tree_PoStag","tok_2","f.s","tok_3","oed_check","oed_FALSE","oed_TRUE","oed_tt","oed_NNS","punct","tok.to.edit","pdf.page"
"1","PREFACE","N.Name.Nom.Sg.Neut","NN","PREFACE",NA,"PREFACE",0,NA,"PREFACE",NA,NA,NA,"PREFACE",15
"2",".","SYM.Pun.Sent","SENT",".",NA,".",1,".",NA,NA,NA,".",".",15
"3","XVII","CARD","NP","XVII",NA,"XVII",1,"XVII",NA,NA,NA,NA,NA,15
"4","Eſop's","N.Reg.Acc.Pl.Masc","NP","Esop's",NA,"Esop's",1,"Esop's",NA,NA,NA,NA,NA,15
"5","fables","FM","VVZ","fables","fables","fables",1,"fables",NA,NA,NA,NA,NA,15
"6",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA,",",",",15
"7","both","FM","CC","both",NA,"both",0,NA,"both",NA,NA,NA,"both",15
"8","in","FM","IN","in",NA,"in",0,NA,"in",NA,NA,NA,"in",15
"9","profe","FM","NN","profe","profe","profe",1,"profe",NA,NA,NA,NA,NA,15
"10","and","FM","CC","and",NA,"and",0,NA,"and",NA,NA,NA,"and",15
"11","verſe","FM","NN","verse",NA,"verse",0,NA,"verse",NA,NA,NA,"verse",15
"12",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA,",",",",15
"13","will","FM","MD","will",NA,"will",0,NA,"will",NA,NA,NA,"will",15
"14","allo","FM","RB","allo",NA,"allo",0,NA,"allo",NA,NA,NA,"allo",15
"15","be","FM","VB","be",NA,"be",0,NA,"be",NA,NA,NA,"be",15
"16","a","FM","DT","a",NA,"a",0,NA,"a",NA,NA,NA,"a",15
"17","proper","ADJD.Pos","JJ","proper",NA,"proper",0,NA,"proper",NA,NA,NA,"proper",15
"18","inſtructor","FM","NN","instructor",NA,"instructor",0,NA,"instructor",NA,NA,NA,"instructor",15
"19",";","SYM.Pun.Sent",":",";",NA,";",1,";",NA,NA,NA,";",";",15
"20","and","FM","CC","and",NA,"and",0,NA,"and",NA,NA,NA,"and",15
"21","as","ADV","RB","as",NA,"as",0,NA,"as",NA,NA,NA,"as",15
"22","they","FM","PP","they",NA,"they",0,NA,"they",NA,NA,NA,"they",15
"23","advance","FM","VVP","advance",NA,"advance",0,NA,"advance",NA,NA,NA,"advance",15
"24",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA,",",",",15
"25","books","FM","NNS","books",NA,"books",0,NA,"books",NA,NA,NA,"books",15
"26","of","FM","IN","of","of","of",0,NA,"of",NA,NA,NA,"of",15
"27","a","FM","DT","a",NA,"a",0,NA,"a",NA,NA,NA,"a",15
"28","higher","N.Name.*.*.*","JJR","higher",NA,"higher",0,NA,"higher",NA,NA,NA,"higher",15
"29","ſtrain","N.Name.*.*.*","NN","strain",NA,"strain",0,NA,"strain",NA,NA,NA,"strain",15
"30",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA,",",",",15
"31","and","N.Name.*.*.*","CC","and",NA,"and",0,NA,"and",NA,NA,NA,"and",15
"32","a","N.Name.*.*.*","DT","a",NA,"a",0,NA,"a",NA,NA,NA,"a",15
"33","more","N.Name.*.*.*","RBR","more",NA,"more",0,NA,"more",NA,NA,NA,"more",15
"34","ſpeculative","N.Reg.*.*.*","JJ","speculative",NA,"speculative",0,NA,"speculative",NA,NA,NA,"speculative",15
"35","turn","VIMP.Full.2.Sg","NN","turn",NA,"turn",0,NA,"turn",NA,NA,NA,"turn",15
