"","tok","RF_PoStag","tree_PoStag","tok_2","f.s","tok_3","oed_check","oed_FALSE","oed_TRUE","oed_tt","oed_NNS","punct","tok.to.edit","pdf.page"
"1","PREFACE","N.Name.Nom.Sg.Neut","NN","PREFACE",NA,"PREFACE",0,NA,"PREFACE",NA,NA,NA,"PREFACE",7
"2",".","SYM.Pun.Sent","SENT",".",NA,".",1,".",NA,NA,NA,".",".",7
"3","1K","CARD","NN","1K",NA,"1K",1,"1K",NA,NA,NA,NA,NA,7
"4","that","PRO.Dem.Subst.-.Nom.Sg.Neut","IN/that","that",NA,"that",0,NA,"that",NA,NA,NA,"that",7
"5","I","FM","PP","I",NA,"I",0,NA,"I",NA,NA,NA,"I",7
"6","will","FM","MD","will",NA,"will",0,NA,"will",NA,NA,NA,"will",7
"7","venture","FM","VV","venture",NA,"venture",0,NA,"venture",NA,NA,NA,"venture",7
"8","to","FM","TO","to",NA,"to",0,NA,"to",NA,NA,NA,"to",7
"9","affirm","ADJD.Pos","VV","affirm","affirm","affirm",0,NA,"affirm",NA,NA,NA,"affirm",7
"10",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA,",",",",7
"11","that","PRO.Dem.Subst.-.Nom.Sg.Neut","DT","that",NA,"that",0,NA,"that",NA,NA,NA,"that",7
"12","thofe","VFIN.Full.3.Sg.Pres.Subj","NN","thofe","thofe","thofe",1,"thofe",NA,NA,NA,NA,NA,7
"13",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA,",",",",7
"14","who","FM","WP","who",NA,"who",0,NA,"who",NA,NA,NA,"who",7
"15","never","FM","RB","never",NA,"never",0,NA,"never",NA,NA,NA,"never",7
"16","had","FM","VHD","had",NA,"had",0,NA,"had",NA,NA,NA,"had",7
"17","the","FM","DT","the",NA,"the",0,NA,"the",NA,NA,NA,"the",7
"18","leaft","VFIN.Full.3.Sg.Pres.Ind","NN","leaft","leaft","leaft",1,"leaft",NA,NA,NA,NA,NA,7
"19","acquaintance","FM","NN","acquaintance",NA,"acquaintance",0,NA,"acquaintance",NA,NA,NA,"acquaintance",7
"20","with","FM","IN","with",NA,"with",0,NA,"with",NA,NA,NA,"with",7
"21","Latin","N.Name.Dat.Sg.*","NP","Latin",NA,"Latin",0,NA,"Latin",NA,NA,NA,"Latin",7
"22",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA,",",",",7
"23","may","FM","MD","may",NA,"may",0,NA,"may",NA,NA,NA,"may",7
"24",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA,",",",",7
"25","by","FM","IN","by",NA,"by",0,NA,"by",NA,NA,NA,"by",7
"26","the","FM","DT","the",NA,"the",0,NA,"the",NA,NA,NA,"the",7
"27","proper","ADJD.Pos","JJ","proper",NA,"proper",0,NA,"proper",NA,NA,NA,"proper",7
"28","uſe","FM","NN","use",NA,"use",0,NA,"use",NA,NA,NA,"use",7
"29","of","FM","IN","of","of","of",0,NA,"of",NA,NA,NA,"of",7
"30","this","FM","DT","this",NA,"this",0,NA,"this",NA,NA,NA,"this",7
"31","Grammar","N.Name.Nom.Sg.*","NN","Grammar",NA,"Grammar",0,NA,"Grammar",NA,NA,NA,"Grammar",7
"32",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA,",",",",7
"33","become","FM","VVN","become",NA,"become",0,NA,"become",NA,NA,NA,"become",7
"34","at","FM","IN","at",NA,"at",0,NA,"at",NA,NA,NA,"at",7
