"","tok","RF_PoStag","tree_PoStag","tok_2","f.s","tok_3","oed_check","oed_FALSE","oed_TRUE","oed_tt","oed_NNS","punct","tok.to.edit","pdf.page"
"237","every","FM","DT","every",NA,"every",0,NA,"every",NA,NA,NA,"every",12
"238","particular","FM","JJ","particular",NA,"particular",0,NA,"particular",NA,NA,NA,"particular",12
"239","letter","FM","NN","letter",NA,"letter",0,NA,"letter",NA,NA,NA,"letter",12
"240",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA,",",",",12
"241","or","FM","CC","or",NA,"or",0,NA,"or",NA,NA,NA,"or",12
"242","combiation","FM","NN","combiation",NA,"combiation",1,"combiation",NA,NA,NA,NA,NA,12
"243","of","FM","IN","of","of","of",0,NA,"of",NA,NA,NA,"of",12
"244","letters","FM","NNS","letters",NA,"letters",0,NA,"letters",NA,NA,NA,"letters",12
"245",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA,",",",",12
"246","is","FM","VBZ","is",NA,"is",0,NA,"is",NA,NA,NA,"is",12
"247","capable","FM","JJ","capable",NA,"capable",0,NA,"capable",NA,NA,NA,"capable",12
"248","of","FM","IN","of","of","of",0,NA,"of",NA,NA,NA,"of",12
"249","admitting","FM","VVG","admitting",NA,"admitting",0,NA,"admitting",NA,NA,NA,"admitting",12
"250",";","SYM.Pun.Sent",":",";",NA,";",1,";",NA,NA,NA,";",";",12
"251","thus","FM","RB","thus",NA,"thus",0,NA,"thus",NA,NA,NA,"thus",12
"252","he","FM","PP","he",NA,"he",0,NA,"he",NA,NA,NA,"he",12
"253","may","FM","MD","may",NA,"may",0,NA,"may",NA,NA,NA,"may",12
"254","be","FM","VB","be",NA,"be",0,NA,"be",NA,NA,NA,"be",12
"255","taught","FM","VVN","taught",NA,"taught",0,NA,"taught",NA,NA,NA,"taught",12
"256",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA,",",",",12
"257","for","FM","IN","for","for","for",0,NA,"for",NA,NA,NA,"for",12
"258","inſtance","FM","NN","instance",NA,"instance",0,NA,"instance",NA,NA,NA,"instance",12
"259",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA,",",",",12
"260","that","PRO.Dem.Subst.-.Nom.Sg.Neut","IN/that","that",NA,"that",0,NA,"that",NA,NA,NA,"that",12
"261","the","FM","DT","the",NA,"the",0,NA,"the",NA,NA,NA,"the",12
"262","lettere","FM","NN","lettere",NA,"lettere",1,"lettere",NA,NA,NA,NA,NA,12
"263","has","FM","VHZ","has",NA,"has",0,NA,"has",NA,NA,NA,"has",12
"264","different","FM","JJ","different","different","different",0,NA,"different",NA,NA,NA,"different",12
"265","ſounds","FM","NNS","sounds",NA,"sounds",0,NA,"sounds",NA,NA,NA,"sounds",12
"266",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA,",",",",12
"267","it","FM","PP","it",NA,"it",0,NA,"it",NA,NA,NA,"it",12
"268","is","FM","VBZ","is",NA,"is",0,NA,"is",NA,NA,NA,"is",12
"269","ſounded","FM","JJ","sounded",NA,"sounded",0,NA,"sounded",NA,NA,NA,"sounded",12
"270","like","FM","IN","like",NA,"like",0,NA,"like",NA,NA,NA,"like",12
"271","the","FM","DT","the",NA,"the",0,NA,"the",NA,NA,NA,"the",12
"272","French","N.Name.Nom.Sg.Masc","JJ","French",NA,"French",0,NA,"French",NA,NA,NA,"French",12
"273","maſculine","FM","NN","masculine",NA,"masculine",0,NA,"masculine",NA,NA,NA,"masculine",12
"274","é","FM","NNS","é",NA,"é",0,NA,"é",NA,NA,NA,"é",12
"275","on","FM","IN","on",NA,"on",0,NA,"on",NA,NA,NA,"on",12
