"","tok","RF_PoStag","tree_PoStag","tok_2","f.s","tok_3","oed_check","oed_FALSE","oed_TRUE","oed_tt","oed_NNS","punct","tok.to.edit","pdf.page"
"1","P","N.Name.*.*.*","NN","P",NA,"P",0,NA,"P",NA,NA,NA,"P",6
"2","REF","N.Name.*.*.*","NN","REF",NA,"REF",0,NA,"REF",NA,NA,NA,"REF",6
"3","ACE","N.Name.Nom.Sg.Neut","NN","ACE",NA,"ACE",0,NA,"ACE",NA,NA,NA,"ACE",6
"4",".","SYM.Pun.Sent","SENT",".",NA,".",1,".",NA,NA,NA,".",".",6
"5",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA,",",",",6
"6",".","SYM.Pun.Sent","SENT",".",NA,".",1,".",NA,NA,NA,".",".",6
"7",".","SYM.Pun.Sent","SENT",".",NA,".",1,".",NA,NA,NA,".",".",6
"8","vini","N.Name.*.*.*","NP","vini",NA,"vini",1,"vini",NA,NA,NA,NA,NA,6
"9","this","N.Name.*.*.*","DT","this",NA,"this",0,NA,"this",NA,NA,NA,"this",6
"10","diſadvantage","N.Reg.Nom.Sg.Masc","NN","disadvantage",NA,"disadvantage",0,NA,"disadvantage",NA,NA,NA,"disadvantage",6
"11",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA,",",",",6
"12","that","PRO.Dem.Subst.-.Nom.Sg.Neut","WDT","that",NA,"that",0,NA,"that",NA,NA,NA,"that",6
"13","he","FM","PP","he",NA,"he",0,NA,"he",NA,NA,NA,"he",6
"14","may","FM","MD","may",NA,"may",0,NA,"may",NA,NA,NA,"may",6
"15","never","FM","RB","never",NA,"never",0,NA,"never",NA,NA,NA,"never",6
"16","meet","FM","VV","meet",NA,"meet",0,NA,"meet",NA,NA,NA,"meet",6
"17","with","FM","IN","with",NA,"with",0,NA,"with",NA,NA,NA,"with",6
"18","theſe","FM","NNS","these",NA,"these",0,NA,"these",NA,NA,NA,"these",6
"19","again","FM","RB","again",NA,"again",0,NA,"again",NA,NA,NA,"again",6
"20",";","SYM.Pun.Sent",":",";",NA,";",1,";",NA,NA,NA,";",";",6
"21","whereas","FM","IN","whereas",NA,"whereas",0,NA,"whereas",NA,NA,NA,"whereas",6
"22","the","FM","DT","the",NA,"the",0,NA,"the",NA,NA,NA,"the",6
"23","Latin","N.Name.Dat.Sg.*","JJ","Latin",NA,"Latin",0,NA,"Latin",NA,NA,NA,"Latin",6
"24","terms","FM","NNS","terms",NA,"terms",0,NA,"terms",NA,NA,NA,"terms",6
"25","may","FM","MD","may",NA,"may",0,NA,"may",NA,NA,NA,"may",6
"26","probably","FM","RB","probably",NA,"probably",0,NA,"probably",NA,NA,NA,"probably",6
"27","occur","FM","VV","occur",NA,"occur",0,NA,"occur",NA,NA,NA,"occur",6
"28","in","APPR.In","IN","in",NA,"in",0,NA,"in",NA,NA,NA,"in",6
"29","the","N.Name.*.*.*","DT","the",NA,"the",0,NA,"the",NA,NA,NA,"the",6
"30","next","ADJA.Pos.Acc.Sg.*","JJ","next",NA,"next",0,NA,"next",NA,NA,NA,"next",6
"31","book","FM","NN","book",NA,"book",0,NA,"book",NA,NA,NA,"book",6
"32","he","FM","PP","he",NA,"he",0,NA,"he",NA,NA,NA,"he",6
"33","has","FM","VHZ","has",NA,"has",0,NA,"has",NA,NA,NA,"has",6
"34","recourfe","FM","JJ","recourfe","recourfe","recourfe",1,"recourfe",NA,NA,NA,NA,NA,6
"35","to","FM","TO","to",NA,"to",0,NA,"to",NA,NA,NA,"to",6
"36",".","SYM.Pun.Sent","SENT",".",NA,".",1,".",NA,NA,NA,".",".",6
"37","In","FM","IN","In",NA,"In",0,NA,"In",NA,NA,NA,"In",6
"38","order","VIMP.Full.2.Sg","NN","order",NA,"order",0,NA,"order",NA,NA,NA,"order",6
"39",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA,",",",",6
"40","therefore","FM","RB","therefore","therefore","therefore",0,NA,"therefore",NA,NA,NA,"therefore",6
"41",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA,",",",",6
"42","to","FM","TO","to",NA,"to",0,NA,"to",NA,NA,NA,"to",6
"43","avoid","FM","VV","avoid",NA,"avoid",0,NA,"avoid",NA,NA,NA,"avoid",6
"44","ſuch","FM","NN","such",NA,"such",0,NA,"such",NA,NA,NA,"such",6
"45","needlefs","FM","NNS","needlefs","needlefs","needlefs",1,"needlefs",NA,NA,"needlefs",NA,"needlefs",6
"46","affectation","FM","NN","affectation","affectation","affectation",0,NA,"affectation",NA,NA,NA,"affectation",6
"47",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA,",",",",6
"48","I","FM","PP","I",NA,"I",0,NA,"I",NA,NA,NA,"I",6
"49","have","VFIN.Aux.1.Sg.Pres.Ind","VHP","have",NA,"have",0,NA,"have",NA,NA,NA,"have",6
"50","retained","FM","VVN","retained",NA,"retained",0,NA,"retained",NA,NA,NA,"retained",6
"51","the","FM","DT","the",NA,"the",0,NA,"the",NA,NA,NA,"the",6
"52","common","FM","JJ","common",NA,"common",0,NA,"common",NA,NA,NA,"common",6
"53","appellations","FM","NNS","appellations",NA,"appellations",1,"appellations",NA,NA,"appellations",NA,"appellations",6
"54","of","FM","IN","of","of","of",0,NA,"of",NA,NA,NA,"of",6
"55","the","FM","DT","the",NA,"the",0,NA,"the",NA,NA,NA,"the",6
"56","ſeveral","FM","JJ","several",NA,"several",0,NA,"several",NA,NA,NA,"several",6
"57","parts","FM","NNS","parts",NA,"parts",0,NA,"parts",NA,NA,NA,"parts",6
"58","of","FM","IN","of","of","of",0,NA,"of",NA,NA,NA,"of",6
"59","ſpeech","FM","NN","speech",NA,"speech",0,NA,"speech",NA,NA,NA,"speech",6
"60",";","SYM.Pun.Sent",":",";",NA,";",1,";",NA,NA,NA,";",";",6
"61","ſtudious","FM","JJ","studious",NA,"studious",0,NA,"studious",NA,NA,NA,"studious",6
"62","rather","ADJD.Comp","RB","rather",NA,"rather",0,NA,"rather",NA,NA,NA,"rather",6
"63","of","FM","IN","of","of","of",0,NA,"of",NA,NA,NA,"of",6
"64","improving","FM","VVG","improving",NA,"improving",0,NA,"improving",NA,NA,NA,"improving",6
"65","things","FM","NNS","things",NA,"things",0,NA,"things",NA,NA,NA,"things",6
"66","than","VPP.Full.Psp","IN","than",NA,"than",0,NA,"than",NA,NA,NA,"than",6
"67","words","FM","NNS","words",NA,"words",0,NA,"words",NA,NA,NA,"words",6
"68",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA,",",",",6
"69","as","ADV","IN","as",NA,"as",0,NA,"as",NA,NA,NA,"as",6
"70","the","N.Name.*.*.*","DT","the",NA,"the",0,NA,"the",NA,NA,NA,"the",6
"71","perfection","N.Name.*.*.*","NN","perfection","perfection","perfection",0,NA,"perfection",NA,NA,NA,"perfection",6
"72","of","N.Name.*.*.*","IN","of","of","of",0,NA,"of",NA,NA,NA,"of",6
"73","an","N.Name.*.*.*","DT","an",NA,"an",0,NA,"an",NA,NA,NA,"an",6
"74","artiſt","N.Name.*.*.*","NN","artist",NA,"artist",0,NA,"artist",NA,NA,NA,"artist",6
"75","conſiſts","N.Name.*.*.*","VVZ","consists",NA,"consists",1,"consists",NA,NA,NA,NA,NA,6
"76","rather","N.Name.*.*.*","RB","rather",NA,"rather",0,NA,"rather",NA,NA,NA,"rather",6
"77","m","N.Reg.*.*.Masc","NN","m",NA,"m",0,NA,"m",NA,NA,NA,"m",6
"78","making","FM","VVG","making",NA,"making",0,NA,"making",NA,NA,NA,"making",6
"79","the","FM","DT","the",NA,"the",0,NA,"the",NA,NA,NA,"the",6
"80","proper","ADJD.Pos","JJ","proper",NA,"proper",0,NA,"proper",NA,NA,NA,"proper",6
"81","ufe","VFIN.Full.3.Sg.Pres.Subj","NN","ufe","ufe","ufe",1,"ufe",NA,NA,NA,NA,NA,6
"82","of","FM","IN","of","of","of",0,NA,"of",NA,NA,NA,"of",6
"83","known","FM","VVN","known",NA,"known",0,NA,"known",NA,NA,NA,"known",6
"84","inſtruments","FM","NNS","instruments",NA,"instruments",0,NA,"instruments",NA,NA,NA,"instruments",6
"85",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA,",",",",6
"86","than","ADJD.Pos","IN","than",NA,"than",0,NA,"than",NA,NA,NA,"than",6
