"","tok","RF_PoStag","tree_PoStag","tok_2","f.s","tok_3","oed_check","oed_FALSE","oed_TRUE","oed_tt","oed_NNS","punct","tok.to.edit","pdf.page"
"1","PREFACE","N.Name.Nom.Sg.Neut","NN","PREFACE",NA,"PREFACE",0,NA,"PREFACE",NA,NA,NA,"PREFACE",13
"2",".","SYM.Pun.Sent","SENT",".",NA,".",1,".",NA,NA,NA,".",".",13
"3","XV","CARD","CD","XV",NA,"XV",1,"XV",NA,NA,NA,NA,NA,13
"4","aſoundbetweenboth","CARD","JJ","asoundbetweenboth",NA,"asoundbetweenboth",1,"asoundbetweenboth",NA,NA,NA,NA,NA,13
"5","theſe","N.Reg.Acc.Pl.Masc","NNS","these",NA,"these",0,NA,"these",NA,NA,NA,"these",13
"6",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA,",",",",13
"7","asarm","ADJD.Pos","NN","asarm",NA,"asarm",1,"asarm",NA,NA,NA,NA,NA,13
"8",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA,",",",",13
"9","art","FM","NN","art",NA,"art",0,NA,"art",NA,NA,NA,"art",13
"10",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA,",",",",13
"11","cart","FM","NN","cart",NA,"cart",0,NA,"cart",NA,NA,NA,"cart",13
"12",".","SYM.Pun.Sent","SENT",".",NA,".",1,".",NA,NA,NA,".",".",13
"13","&","FM","CC","&",NA,"&",0,NA,"&",NA,NA,NA,"&",13
"14","sc","FM","NN","sc",NA,"sc",0,NA,"sc",NA,NA,NA,"sc",13
"15",".","SYM.Pun.Sent","SENT",".",NA,".",1,".",NA,NA,NA,".",".",13
"16","and","FM","CC","and",NA,"and",0,NA,"and",NA,NA,NA,"and",13
"17","that","PRO.Dem.Subst.-.Nom.Sg.Neut","IN/that","that",NA,"that",0,NA,"that",NA,NA,NA,"that",13
"18","it","FM","PP","it",NA,"it",0,NA,"it",NA,NA,NA,"it",13
"19","is","FM","VBZ","is",NA,"is",0,NA,"is",NA,NA,NA,"is",13
"20","ſunk","FM","JJ","sunk",NA,"sunk",0,NA,"sunk",NA,NA,NA,"sunk",13
"21","almoſt","FM","NN","almost",NA,"almost",0,NA,"almost",NA,NA,NA,"almost",13
"22","entirely","FM","RB","entirely",NA,"entirely",0,NA,"entirely",NA,NA,NA,"entirely",13
"23","in","APPR.In","IN","in",NA,"in",0,NA,"in",NA,NA,NA,"in",13
"24","the","FM","DT","the",NA,"the",0,NA,"the",NA,NA,NA,"the",13
"25","words","FM","NNS","words",NA,"words",0,NA,"words",NA,NA,NA,"words",13
"26","Bargain","FM","NN","Bargain",NA,"Bargain",0,NA,"Bargain",NA,NA,NA,"Bargain",13
"27",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA,",",",",13
"28","Captain","N.Name.*.*.*","NP","Captain",NA,"Captain",0,NA,"Captain",NA,NA,NA,"Captain",13
"29",";","SYM.Pun.Sent",":",";",NA,";",1,";",NA,NA,NA,";",";",13
"30","and","N.Name.*.*.*","CC","and",NA,"and",0,NA,"and",NA,NA,NA,"and",13
"31","ſo","N.Name.*.*.*","NN","so",NA,"so",0,NA,"so",NA,NA,NA,"so",13
"32","of","N.Name.*.*.*","IN","of","of","of",0,NA,"of",NA,NA,NA,"of",13
"33","the","N.Name.*.*.*","DT","the",NA,"the",0,NA,"the",NA,NA,NA,"the",13
