"","tok","RF_PoStag","tree_PoStag","tok_2","f.s","tok_3","oed_check","oed_FALSE","oed_TRUE","oed_tt","oed_NNS","punct","tok.to.edit","pdf.page"
"1","PREF","N.Name.*.*.*","NN","PREF",NA,"PREF",0,NA,"PREF",NA,NA,NA,"PREF",9
"2","ACE","N.Name.Nom.Sg.Neut","NN","ACE",NA,"ACE",0,NA,"ACE",NA,NA,NA,"ACE",9
"3",".","SYM.Pun.Sent","SENT",".",NA,".",1,".",NA,NA,NA,".",".",9
"4","X1","N.Name.*.*.*","NP","X1",NA,"X1",1,"X1",NA,NA,NA,NA,NA,9
"5","the","N.Name.*.*.*","DT","the",NA,"the",0,NA,"the",NA,NA,NA,"the",9
"6","ſcholar","N.Name.*.*.*","JJ","scholar",NA,"scholar",0,NA,"scholar",NA,NA,NA,"scholar",9
"7","will","VFIN.Mod.3.Sg.Pres.Ind","NN","will",NA,"will",0,NA,"will",NA,NA,NA,"will",9
"8","in","APPR.In","IN","in",NA,"in",0,NA,"in",NA,NA,NA,"in",9
"9","the","N.Name.*.*.*","DT","the",NA,"the",0,NA,"the",NA,NA,NA,"the",9
"10","other","N.Name.*.*.*","JJ","other",NA,"other",0,NA,"other",NA,NA,NA,"other",9
"11","parts","FM","NNS","parts",NA,"parts",0,NA,"parts",NA,NA,NA,"parts",9
"12","of","FM","IN","of","of","of",0,NA,"of",NA,NA,NA,"of",9
"13","the","FM","DT","the",NA,"the",0,NA,"the",NA,NA,NA,"the",9
"14","work","FM","NN","work",NA,"work",0,NA,"work",NA,NA,NA,"work",9
"15","be","FM","VB","be",NA,"be",0,NA,"be",NA,NA,NA,"be",9
"16","taught","FM","VVN","taught",NA,"taught",0,NA,"taught",NA,NA,NA,"taught",9
"17","to","FM","TO","to",NA,"to",0,NA,"to",NA,NA,NA,"to",9
"18","diſpoſe","FM","NNS","dispose",NA,"dispose",0,NA,"dispose",NA,NA,NA,"dispose",9
"19",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA,",",",",9
"20","and","FM","CC","and",NA,"and",0,NA,"and",NA,NA,NA,"and",9
"21","thus","FM","RB","thus",NA,"thus",0,NA,"thus",NA,NA,NA,"thus",9
"22","make","FM","VV","make",NA,"make",0,NA,"make",NA,NA,NA,"make",9
"23","exercifes","FM","NNS","exercifes","exercifes","exercifes",1,"exercifes",NA,NA,"exercifes",NA,"exercifes",9
"24","from","FM","IN","from","from","from",0,NA,"from",NA,NA,NA,"from",9
"25","both","FM","CC","both",NA,"both",0,NA,"both",NA,NA,NA,"both",9
"26","in","APPR.In","IN","in",NA,"in",0,NA,"in",NA,NA,NA,"in",9
"27","proſe","FM","NNS","prose",NA,"prose",0,NA,"prose",NA,NA,NA,"prose",9
"28","and","FM","CC","and",NA,"and",0,NA,"and",NA,NA,NA,"and",9
"29","verſe","FM","NNS","verse",NA,"verse",0,NA,"verse",NA,NA,NA,"verse",9
"30",".","SYM.Pun.Sent","SENT",".",NA,".",1,".",NA,NA,NA,".",".",9
"31","I","FM","PP","I",NA,"I",0,NA,"I",NA,NA,NA,"I",9
"32","have","VFIN.Aux.1.Sg.Pres.Ind","VHP","have",NA,"have",0,NA,"have",NA,NA,NA,"have",9
"33","alſo","FM","VVN","also",NA,"also",0,NA,"also",NA,NA,NA,"also",9
"34","fully","FM","RB","fully","fully","fully",0,NA,"fully",NA,NA,NA,"fully",9
"35","and","FM","CC","and",NA,"and",0,NA,"and",NA,NA,NA,"and",9
"36","clearly","FM","RB","clearly",NA,"clearly",0,NA,"clearly",NA,NA,NA,"clearly",9
"37","explamed","FM","VVD","explamed",NA,"explamed",1,"explamed",NA,NA,"explamed",NA,"explamed",9
"38","the","FM","DT","the",NA,"the",0,NA,"the",NA,NA,NA,"the",9
"39","conſtruction","N.Reg.Nom.Pl.Fem","NN","construction",NA,"construction",0,NA,"construction",NA,NA,NA,"construction",9
"40","of","FM","IN","of","of","of",0,NA,"of",NA,NA,NA,"of",9
"41","all","FM","PDT","all",NA,"all",0,NA,"all",NA,NA,NA,"all",9
"42","the","FM","DT","the",NA,"the",0,NA,"the",NA,NA,NA,"the",9
"43","parts","FM","NNS","parts",NA,"parts",0,NA,"parts",NA,NA,NA,"parts",9
"44","of","FM","IN","of","of","of",0,NA,"of",NA,NA,NA,"of",9
"45","Engliſb","FM","NN","Englisb",NA,"Englisb",1,"Englisb",NA,NA,NA,NA,NA,9
"46","ſpeech","FM","NN","speech",NA,"speech",0,NA,"speech",NA,NA,NA,"speech",9
"47",";","SYM.Pun.Sent",":",";",NA,";",1,";",NA,NA,NA,";",";",9
"48","and","FM","CC","and",NA,"and",0,NA,"and",NA,NA,NA,"and",9
"49","have","VFIN.Aux.1.Sg.Pres.Ind","VHP","have",NA,"have",0,NA,"have",NA,NA,NA,"have",9
"50","given","FM","VVN","given",NA,"given",0,NA,"given",NA,NA,NA,"given",9
"51","the","FM","DT","the",NA,"the",0,NA,"the",NA,NA,NA,"the",9
