"","tok","RF_PoStag","tree_PoStag","tok_2","f.s","tok_3","oed_check","oed_FALSE","oed_TRUE","oed_tt","oed_NNS","punct","tok.to.edit","pdf.page"
"1","PREFA","N.Name.*.*.*","NP","PREFA",NA,"PREFA",1,"PREFA",NA,NA,NA,NA,NA,10
"2","CE","N.Name.Nom.Sg.Neut","NP","CE",NA,"CE",0,NA,"CE",NA,NA,NA,"CE",10
"3",".","SYM.Pun.Sent","SENT",".",NA,".",1,".",NA,NA,NA,".",".",10
"4","Xi1","N.Name.Nom.Sg.Neut","JJ","Xi1",NA,"Xi1",1,"Xi1",NA,NA,NA,NA,NA,10
"5","theſe","CARD","NNS","these",NA,"these",0,NA,"these",NA,NA,NA,"these",10
"6",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA,",",",",10
"7","1","CARD","CD","1",NA,"1",0,NA,"1",NA,NA,NA,"1",10
"8","ſay","N.Reg.*.*.Neut","NN","say",NA,"say",0,NA,"say",NA,NA,NA,"say",10
"9",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA,",",",",10
"10","are","FM","VBP","are",NA,"are",0,NA,"are",NA,NA,NA,"are",10
"11","always","FM","RB","always",NA,"always",0,NA,"always",NA,NA,NA,"always",10
"12","pointed","FM","VVN","pointed",NA,"pointed",0,NA,"pointed",NA,NA,NA,"pointed",10
"13","out","FM","RP","out",NA,"out",0,NA,"out",NA,NA,NA,"out",10
"14",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA,",",",",10
"15","ſo","FM","VVG","so",NA,"so",0,NA,"so",NA,NA,NA,"so",10
"16","that","PRO.Dem.Subst.-.Nom.Sg.Neut","IN/that","that",NA,"that",0,NA,"that",NA,NA,NA,"that",10
"17","Foreigners","N.Name.Gen.Sg.Masc","NNS","Foreigners",NA,"Foreigners",0,NA,"Foreigners",NA,NA,NA,"Foreigners",10
"18","and","N.Name.*.*.*","CC","and",NA,"and",0,NA,"and",NA,NA,NA,"and",10
"19","Natives","N.Reg.Nom.Sg.Neut","NNS","Natives",NA,"Natives",0,NA,"Natives",NA,NA,NA,"Natives",10
"20",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA,",",",",10
"21","at","FM","IN","at",NA,"at",0,NA,"at",NA,NA,NA,"at",10
"22","a","FM","DT","a",NA,"a",0,NA,"a",NA,NA,NA,"a",10
"23","diſtance","FM","NN","distance",NA,"distance",0,NA,"distance",NA,NA,NA,"distance",10
"24","from","FM","IN","from","from","from",0,NA,"from",NA,NA,NA,"from",10
"25","the","FM","DT","the",NA,"the",0,NA,"the",NA,NA,NA,"the",10
"26","capital","FM","NN","capital",NA,"capital",0,NA,"capital",NA,NA,NA,"capital",10
"27",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA,",",",",10
"28","may","FM","MD","may",NA,"may",0,NA,"may",NA,NA,NA,"may",10
"29","be","FM","VB","be",NA,"be",0,NA,"be",NA,NA,NA,"be",10
"30","taught","FM","VVN","taught",NA,"taught",0,NA,"taught",NA,NA,NA,"taught",10
"31",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA,",",",",10
"32","as","ADV","RB","as",NA,"as",0,NA,"as",NA,NA,NA,"as",10
"33","far","ADJD.Pos","RB","far","far","far",0,NA,"far",NA,NA,NA,"far",10
"34","as","ADV","IN","as",NA,"as",0,NA,"as",NA,NA,NA,"as",10
"35","Books","N.Name.Dat.Sg.Fem","NNS","Books",NA,"Books",0,NA,"Books",NA,NA,NA,"Books",10
"36","can","VFIN.Mod.*.*.Pres.Ind","MD","can",NA,"can",0,NA,"can",NA,NA,NA,"can",10
"37","teach","ADJD.Pos","VV","teach",NA,"teach",0,NA,"teach",NA,NA,NA,"teach",10
"38",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA,",",",",10
"39","to","FM","TO","to",NA,"to",0,NA,"to",NA,NA,NA,"to",10
"40","give","FM","VV","give",NA,"give",0,NA,"give",NA,NA,NA,"give",10
"41","every","FM","DT","every",NA,"every",0,NA,"every",NA,NA,NA,"every",10
"42","word","FM","NN","word",NA,"word",0,NA,"word",NA,NA,NA,"word",10
"43","its","FM","PP$","its",NA,"its",0,NA,"its",NA,NA,NA,"its",10
"44","true","FM","JJ","true",NA,"true",0,NA,"true",NA,NA,NA,"true",10
"45","pronunciation","FM","NN","pronunciation",NA,"pronunciation",0,NA,"pronunciation",NA,NA,NA,"pronunciation",10
"46","and","FM","CC","and",NA,"and",0,NA,"and",NA,NA,NA,"and",10
"47","proper","ADJD.Pos","JJ","proper",NA,"proper",0,NA,"proper",NA,NA,NA,"proper",10
"48","accent","ADJD.Pos","NN","accent",NA,"accent",0,NA,"accent",NA,NA,NA,"accent",10
"49",".","SYM.Pun.Sent","SENT",".",NA,".",1,".",NA,NA,NA,".",".",10
"50","When","VFIN.Full.3.Pl.Pres.Ind","WRB","When",NA,"When",0,NA,"When",NA,NA,NA,"When",10
"51","we","PRO.Pers.Subst.1.Nom.Pl.*","PP","we",NA,"we",0,NA,"we",NA,NA,NA,"we",10
"52","thus","FM","RB","thus",NA,"thus",0,NA,"thus",NA,NA,NA,"thus",10
"53","aſcertain","N.Reg.Nom.Pl.Fem","VVP","ascertain",NA,"ascertain",0,NA,"ascertain",NA,NA,NA,"ascertain",10
"54","the","FM","DT","the",NA,"the",0,NA,"the",NA,NA,NA,"the",10
"55","difference","FM","NN","difference","difference","difference",0,NA,"difference",NA,NA,NA,"difference",10
"56","between","FM","IN","between",NA,"between",0,NA,"between",NA,NA,NA,"between",10
"57","ſpeaking","N.Reg.Nom.Sg.Fem","VVG","speaking",NA,"speaking",0,NA,"speaking",NA,NA,NA,"speaking",10
"58","and","FM","CC","and",NA,"and",0,NA,"and",NA,NA,NA,"and",10
"59","writing","FM","VVG","writing",NA,"writing",0,NA,"writing",NA,NA,NA,"writing",10
"60",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA,",",",",10
"61","it","FM","PP","it",NA,"it",0,NA,"it",NA,NA,NA,"it",10
"62","in","FM","IN","in",NA,"in",0,NA,"in",NA,NA,NA,"in",10
"63","fome","FM","NN","fome","fome","fome",1,"fome",NA,NA,NA,NA,NA,10
"64","meafure","FM","NN","meafure","meafure","meafure",1,"meafure",NA,NA,NA,NA,NA,10
"65","prevents","FM","VVZ","prevents",NA,"prevents",1,"prevents",NA,NA,NA,NA,NA,10
"66","the","FM","DT","the",NA,"the",0,NA,"the",NA,NA,NA,"the",10
"67","future","FM","JJ","future","future","future",0,NA,"future",NA,NA,NA,"future",10
"68","deviations","FM","NNS","deviations",NA,"deviations",1,"deviations",NA,NA,"deviations",NA,"deviations",10
"69","of","FM","IN","of","of","of",0,NA,"of",NA,NA,NA,"of",10
"70","language","FM","NN","language",NA,"language",0,NA,"language",NA,NA,NA,"language",10
"71",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA,",",",",10
"72","and","FM","CC","and",NA,"and",0,NA,"and",NA,NA,NA,"and",10
"73","hinders","FM","VVZ","hinders",NA,"hinders",0,NA,"hinders",NA,NA,NA,"hinders",10
"74","fafhion","FM","NN","fafhion","fafhion","fafhion",1,"fafhion",NA,NA,NA,NA,NA,10
"75","from","FM","IN","from","from","from",0,NA,"from",NA,NA,NA,"from",10
"76","introducing","FM","VVG","introducing",NA,"introducing",0,NA,"introducing",NA,NA,NA,"introducing",10
"77","barbarous","FM","JJ","barbarous",NA,"barbarous",0,NA,"barbarous",NA,NA,NA,"barbarous",10
"78","affectation","FM","NN","affectation","affectation","affectation",0,NA,"affectation",NA,NA,NA,"affectation",10
"79","into","N.Name.*.*.*","IN","into",NA,"into",0,NA,"into",NA,NA,NA,"into",10
"80","our","FM","PP$","our",NA,"our",0,NA,"our",NA,NA,NA,"our",10
"81","ſpeech","FM","NN","speech",NA,"speech",0,NA,"speech",NA,NA,NA,"speech",10
"82",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA,",",",",10
"83","and","FM","CC","and",NA,"and",0,NA,"and",NA,NA,NA,"and",10
"84","deters","FM","VVZ","deters",NA,"deters",1,"deters",NA,NA,NA,NA,NA,10
"85","the","FM","DT","the",NA,"the",0,NA,"the",NA,NA,NA,"the",10
"86","orthographitt","VFIN.Full.3.Sg.Pres.Ind","NN","orthographitt",NA,"orthographitt",1,"orthographitt",NA,NA,NA,NA,NA,10
"87","from","FM","IN","from","from","from",0,NA,"from",NA,NA,NA,"from",10
"88","writing","FM","VVG","writing",NA,"writing",0,NA,"writing",NA,NA,NA,"writing",10
"89","the","FM","DT","the",NA,"the",0,NA,"the",NA,NA,NA,"the",10
"90","language","FM","NN","language",NA,"language",0,NA,"language",NA,NA,NA,"language",10
"91","exactly","FM","RB","exactly",NA,"exactly",0,NA,"exactly",NA,NA,NA,"exactly",10
"92","as","ADV","IN","as",NA,"as",0,NA,"as",NA,NA,NA,"as",10
"93","it","FM","PP","it",NA,"it",0,NA,"it",NA,NA,NA,"it",10
"94","is","FM","VBZ","is",NA,"is",0,NA,"is",NA,NA,NA,"is",10
"95","vicioufly","FM","RB","vicioufly","vicioufly","vicioufly",1,"vicioufly",NA,NA,"vicioufly",NA,"vicioufly",10
"96","pronounced","FM","VVN","pronounced",NA,"pronounced",0,NA,"pronounced",NA,NA,NA,"pronounced",10
"97",".","SYM.Pun.Sent","SENT",".",NA,".",1,".",NA,NA,NA,".",".",10
"98","As","FM","IN","As",NA,"As",0,NA,"As",NA,NA,NA,"As",10
"99","the","FM","DT","the",NA,"the",0,NA,"the",NA,NA,NA,"the",10
"100","inſtruction","N.Name.*.*.*","NN","instruction",NA,"instruction",0,NA,"instruction",NA,NA,NA,"instruction",10
"101","of","N.Name.*.*.*","IN","of","of","of",0,NA,"of",NA,NA,NA,"of",10
"102","Foreigners","N.Name.Gen.Sg.*","NNS","Foreigners",NA,"Foreigners",0,NA,"Foreigners",NA,NA,NA,"Foreigners",10
"103","was","PRO.Indef.Subst.-.*.*.Neut","VBD","was",NA,"was",0,NA,"was",NA,NA,NA,"was",10
"104","no","PART.Ans","DT","no",NA,"no",0,NA,"no",NA,NA,NA,"no",10
"105","inconſiderable","ADJA.Pos.Acc.Pl.*","JJ","inconsiderable",NA,"inconsiderable",0,NA,"inconsiderable",NA,NA,NA,"inconsiderable",10
"106","part","FM","NN","part",NA,"part",0,NA,"part",NA,NA,NA,"part",10
"107","of","FM","IN","of","of","of",0,NA,"of",NA,NA,NA,"of",10
"108","my","FM","PP$","my",NA,"my",0,NA,"my",NA,NA,NA,"my",10
"109","aim","FM","NN","aim",NA,"aim",0,NA,"aim",NA,NA,NA,"aim",10
"110","in","FM","IN","in",NA,"in",0,NA,"in",NA,NA,NA,"in",10
"111","this","FM","DT","this",NA,"this",0,NA,"this",NA,NA,NA,"this",10
"112","work","FM","NN","work",NA,"work",0,NA,"work",NA,NA,NA,"work",10
"113",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA,",",",",10
"114","I","FM","PP","I",NA,"I",0,NA,"I",NA,NA,NA,"I",10
"115","have","VFIN.Aux.1.Sg.Pres.Ind","VHP","have",NA,"have",0,NA,"have",NA,NA,NA,"have",10
"116","not","ADJD.Pos","RB","not",NA,"not",0,NA,"not",NA,NA,NA,"not",10
"117","only","FM","RB","only",NA,"only",0,NA,"only",NA,NA,NA,"only",10
"118","been","FM","VBN","been",NA,"been",1,"been",NA,NA,"been",NA,"been",10
"119","thus","FM","RB","thus",NA,"thus",0,NA,"thus",NA,NA,NA,"thus",10
"120","afliduous","FM","JJ","afliduous","afliduous","afliduous",1,"afliduous",NA,NA,NA,NA,NA,10
"121","in","APPR.In","IN","in",NA,"in",0,NA,"in",NA,NA,NA,"in",10
