"","tok","RF_PoStag","tree_PoStag","tok_2","f.s","tok_3","oed_check","oed_FALSE","oed_TRUE","oed_tt","oed_NNS","punct","tok.to.edit","pdf.page"
"1","His","N.Reg.Nom.Sg.Neut","PP$","His",NA,"His",0,NA,"His",NA,NA,NA,"His",47
"2","Moſt","N.Name.*.*.*","NP","Most",NA,"Most",0,NA,"Most",NA,NA,NA,"Most",47
"3","Aucusr","N.Name.*.*.*","NP","Aucusr",NA,"Aucusr",1,"Aucusr",NA,NA,NA,NA,NA,47
"4",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA,",",",",47
"5","AND","N.Name.*.*.*","CC","AND",NA,"AND",0,NA,"AND",NA,NA,NA,"AND",47
"6","ExcELLENT","N.Name.*.*.*","JJ","ExcELLENT",NA,"ExcELLENT",0,NA,"ExcELLENT",NA,NA,NA,"ExcELLENT",47
"7","MATESTY","N.Name.Nom.Sg.*","NP","MATESTY",NA,"MATESTY",1,"MATESTY",NA,NA,NA,NA,NA,47
"8",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA,",",",",47
"9","GEORGE","N.Name.Nom.Sg.*","NP","GEORGE",NA,"GEORGE",0,NA,"GEORGE",NA,NA,NA,"GEORGE",47
"10","the","N.Name.*.*.*","DT","the",NA,"the",0,NA,"the",NA,NA,NA,"the",47
"11","T","N.Name.*.*.*","NN","T",NA,"T",0,NA,"T",NA,NA,NA,"T",47
"12","HIRD","N.Name.*.*.*","NP","HIRD",NA,"HIRD",0,NA,"HIRD",NA,NA,NA,"HIRD",47
"13",".","SYM.Pun.Sent","SENT",".",NA,".",1,".",NA,NA,NA,".",".",47
"14","King","N.Name.*.*.*","NP","King",NA,"King",0,NA,"King",NA,NA,NA,"King",47
"15","of","N.Name.*.*.*","IN","of","of","of",0,NA,"of",NA,NA,NA,"of",47
"16","GREAr","N.Name.*.*.*","NP","GREAr",NA,"GREAr",1,"GREAr",NA,NA,NA,NA,NA,47
"17","-","SYM.Pun.Hyph","NP","-",NA,"-",1,"-",NA,NA,NA,"-","-",47
"18","BRiTAi","FM","NP","BRiTAi",NA,"BRiTAi",1,"BRiTAi",NA,NA,NA,NA,NA,47
"19",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA,",",",",47
"20","&","FM","CC","&",NA,"&",0,NA,"&",NA,NA,NA,"&",47
"21","c","FM","LS","c",NA,"c",0,NA,"c",NA,NA,NA,"c",47
"22",".","SYM.Pun.Sent","SENT",".",NA,".",1,".",NA,NA,NA,".",".",47
"23","T","N.Name.Nom.Sg.*","NN","T",NA,"T",0,NA,"T",NA,NA,NA,"T",47
"24","HIS","N.Reg.Nom.Sg.Neut","PP$","HIS",NA,"HIS",0,NA,"HIS",NA,NA,NA,"HIS",47
"25","ENGLISH","N.Name.Nom.Sg.*","JJ","ENGLISH",NA,"ENGLISH",0,NA,"ENGLISH",NA,NA,NA,"ENGLISH",47
"26","GRAMMAR","N.Name.Nom.Sg.*","NN","GRAMMAR",NA,"GRAMMAR",0,NA,"GRAMMAR",NA,NA,NA,"GRAMMAR",47
"27","Is","N.Name.*.*.*","VBZ","Is",NA,"Is",0,NA,"Is",NA,NA,NA,"Is",47
"28","moſt","N.Name.*.*.*","JJ","most",NA,"most",0,NA,"most",NA,NA,NA,"most",47
"29","humbly","N.Name.*.*.*","RB","humbly",NA,"humbly",0,NA,"humbly",NA,NA,NA,"humbly",47
"30","inſcribed","N.Name.*.*.*","JJ","inscribed",NA,"inscribed",0,NA,"inscribed",NA,NA,NA,"inscribed",47
"31",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA,",",",",47
"32","His","N.Reg.Nom.Sg.Neut","PP$","His",NA,"His",0,NA,"His",NA,NA,NA,"His",47
"33","Majrsrr's","N.Name.*.*.*","NNS","Majrsrr's",NA,"Majrsrr's",1,"Majrsrr's",NA,NA,"Majrsrr's",NA,"Majrsrr's",47
"34","Ever","N.Name.*.*.*","RB","Ever",NA,"Ever",0,NA,"Ever",NA,NA,NA,"Ever",47
"35","Dutiful","N.Name.Nom.Sg.Neut","JJ","Dutiful","Dutiful","Dutiful",0,NA,"Dutiful",NA,NA,NA,"Dutiful",47
"36",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA,",",",",47
"37","Loyal","ADJD.Pos","NP","Loyal",NA,"Loyal",0,NA,"Loyal",NA,NA,NA,"Loyal",47
"38","and","FM","CC","and",NA,"and",0,NA,"and",NA,NA,NA,"and",47
"39","Obedient","FM","JJ","Obedient",NA,"Obedient",0,NA,"Obedient",NA,NA,NA,"Obedient",47
"40",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA,",",",",47
"41","Subject","FM","JJ","Subject",NA,"Subject",0,NA,"Subject",NA,NA,NA,"Subject",47
"42","and","FM","CC","and",NA,"and",0,NA,"and",NA,NA,NA,"and",47
"43","Servant","FM","NP","Servant",NA,"Servant",0,NA,"Servant",NA,NA,NA,"Servant",47
"44",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA,",",",",47
"45","CHARLES","N.Name.Nom.Sg.Masc","NP","CHARLES",NA,"CHARLES",1,"CHARLES",NA,NA,NA,NA,NA,47
"46","WISEMAN","N.Name.Nom.Sg.Masc","NP","WISEMAN",NA,"WISEMAN",1,"WISEMAN",NA,NA,NA,NA,NA,47
"47",".","SYM.Pun.Sent","SENT",".",NA,".",1,".",NA,NA,NA,".",".",47
