"","tok","RF_PoStag","tree_PoStag","tok_2","f.s","tok_3","oed_check","oed_FALSE","oed_TRUE","oed_tt","oed_NNS","punct","tok.to.edit","pdf.page"
"1","uliuushilitaeeeeeeee","N.Name.Nom.Sg.*","NN","uliuushilitaeeeeeeee",NA,"uliuushilitaeeeeeeee",1,"uliuushilitaeeeeeeee",NA,NA,NA,NA,NA,258
"2",")","SYM.Paren.Right",")",")",NA,")",1,")",NA,NA,NA,NA,NA,258
"3","A","N.Name.*.*.*","DT","A",NA,"A",0,NA,"A",NA,NA,NA,"A",258
"4","COMPLETE","N.Name.*.*.*","JJ","COMPLETE",NA,"COMPLETE",0,NA,"COMPLETE",NA,NA,NA,"COMPLETE",258
"5","ENGT.ISII","N.Name.*.*.*","NP","ENGT.ISII",NA,"ENGT.ISII",1,"ENGT.ISII",NA,NA,NA,NA,NA,258
"6","GR","N.Name.*.*.*","NP","GR",NA,"GR",1,"GR",NA,NA,NA,NA,NA,258
"7","AM","N.Name.*.*.*","NP","AM",NA,"AM",0,NA,"AM",NA,NA,NA,"AM",258
"8","MAR","N.Name.Nom.Sg.*","NN","MAR",NA,"MAR",0,NA,"MAR",NA,NA,NA,"MAR",258
"9","On","FM","IN","On",NA,"On",0,NA,"On",NA,NA,NA,"On",258
"10","a","FM","DT","a",NA,"a",0,NA,"a",NA,NA,NA,"a",258
"11","NEW","N.Name.*.*.*","JJ","NEW",NA,"NEW",0,NA,"NEW",NA,NA,NA,"NEW",258
"12","PLAN","N.Reg.Nom.Sg.Masc","NN","PLAN",NA,"PLAN",0,NA,"PLAN",NA,NA,NA,"PLAN",258
"13",".","SYM.Pun.Sent","SENT",".",NA,".",1,".",NA,NA,NA,".",".",258
"14","For","N.Name.*.*.*","IN","For",NA,"For",0,NA,"For",NA,NA,NA,"For",258
"15","the","N.Name.*.*.*","DT","the",NA,"the",0,NA,"the",NA,NA,NA,"the",258
"16","USE","N.Name.Nom.Sg.*","NN","USE",NA,"USE",0,NA,"USE",NA,NA,NA,"USE",258
"17",".","SYM.Pun.Sent","SENT",".",NA,".",1,".",NA,NA,NA,".",".",258
"18","Of","N.Name.*.*.*","IN","Of","Of","Of",0,NA,"Of",NA,NA,NA,"Of",258
"19","FOREIGNERS","N.Name.Nom.Sg.*","NNS","FOREIGNERS",NA,"FOREIGNERS",0,NA,"FOREIGNERS",NA,NA,NA,"FOREIGNERS",258
"20",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA,",",",",258
"21","A","SYM.Other.XY","DT","A",NA,"A",0,NA,"A",NA,NA,NA,"A",258
"22","N","SYM.Other.XY","NP","N",NA,"N",0,NA,"N",NA,NA,NA,"N",258
"23","D","SYM.Other.XY","NP","D",NA,"D",0,NA,"D",NA,NA,NA,"D",258
"24","Such","N.Name.Nom.Sg.Masc","JJ","Such",NA,"Such",0,NA,"Such",NA,NA,NA,"Such",258
"25","NaTivrs","N.Name.Nom.Sg.Masc","NN","NaTivrs",NA,"NaTivrs",1,"NaTivrs",NA,NA,NA,NA,NA,258
"26","as","ADV","RB","as",NA,"as",0,NA,"as",NA,NA,NA,"as",258
"27","would","ADJD.Pos","MD","would",NA,"would",0,NA,"would",NA,NA,NA,"would",258
"28","acquire","FM","VV","acquire",NA,"acquire",0,NA,"acquire",NA,NA,NA,"acquire",258
"29","a","FM","DT","a",NA,"a",0,NA,"a",NA,NA,NA,"a",258
"30","Scientifical","FM","NP","Scientifical","Scientifical","Scientifical",0,NA,"Scientifical",NA,NA,NA,"Scientifical",258
"31","Knowledge","FM","NP","Knowledge",NA,"Knowledge",0,NA,"Knowledge",NA,NA,NA,"Knowledge",258
"32","of","FM","IN","of","of","of",0,NA,"of",NA,NA,NA,"of",258
"33","their","FM","PP$","their",NA,"their",0,NA,"their",NA,NA,NA,"their",258
"34","own","FM","JJ","own",NA,"own",0,NA,"own",NA,NA,NA,"own",258
"35","Tongue","FM","NP","Tongue",NA,"Tongue",0,NA,"Tongue",NA,NA,NA,"Tongue",258
"36",".","SYM.Pun.Sent","SENT",".",NA,".",1,".",NA,NA,NA,".",".",258
"37","In","FM","IN","In",NA,"In",0,NA,"In",NA,NA,NA,"In",258
"38","T","N.Name.*.*.*","NN","T",NA,"T",0,NA,"T",NA,NA,NA,"T",258
"39","WO","N.Name.*.*.*","MD","WO",NA,"WO",0,NA,"WO",NA,NA,NA,"WO",258
"40","PARTS","N.Name.Nom.Sg.*","NNS","PARTS",NA,"PARTS",0,NA,"PARTS",NA,NA,NA,"PARTS",258
"41",".","SYM.Pun.Sent","SENT",".",NA,".",1,".",NA,NA,NA,".",".",258
"42","CONTAfNINc","N.Name.Nom.Sg.*","NP","CONTAfNINc","CONTAfNINc","CONTAfNINc",1,"CONTAfNINc",NA,NA,NA,NA,NA,258
"43",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA,",",",",258
"44","I","FM","NP","I",NA,"I",0,NA,"I",NA,NA,NA,"I",258
"45",".","SYM.Pun.Sent","SENT",".",NA,".",1,".",NA,NA,NA,".",".",258
"46","An","APPR.An","DT","An",NA,"An",0,NA,"An",NA,NA,NA,"An",258
"47","exact","FM","JJ","exact",NA,"exact",0,NA,"exact",NA,NA,NA,"exact",258
"48","Analyſis","FM","NP","Analysis",NA,"Analysis",0,NA,"Analysis",NA,NA,NA,"Analysis",258
"49","and","FM","CC","and",NA,"and",0,NA,"and",NA,NA,NA,"and",258
"50","proper","ADJD.Pos","JJ","proper",NA,"proper",0,NA,"proper",NA,NA,NA,"proper",258
"51","Diviſion","N.Name.*.*.*","NN","Division",NA,"Division",0,NA,"Division",NA,NA,NA,"Division",258
"52","of","N.Name.*.*.*","IN","of","of","of",0,NA,"of",NA,NA,NA,"of",258
"53","Sound","N.Name.*.*.*","NP","Sound",NA,"Sound",0,NA,"Sound",NA,NA,NA,"Sound",258
"54",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA,",",",",258
"55","ſo","FM","NN","so",NA,"so",0,NA,"so",NA,NA,NA,"so",258
"56","far","FM","RB","far","far","far",0,NA,"far",NA,NA,NA,"far",258
