"","tok","RF_PoStag","tree_PoStag","tok_2","f.s","tok_3","oed_check","oed_FALSE","oed_TRUE","oed_tt","oed_NNS","punct","tok.to.edit","pdf.page"
"1","PREFACE","N.Name.Nom.Sg.Neut","NN","PREFACE",NA,"PREFACE",0,NA,"PREFACE",NA,NA,NA,"PREFACE",4
"2",".","SYM.Pun.Sent","SENT",".",NA,".",1,".",NA,NA,NA,".",".",4
"3","VI","SYM.Other.XY","NP","VI",NA,"VI",1,"VI",NA,NA,NA,NA,NA,4
"4","rent","FM","NN","rent",NA,"rent",0,NA,"rent",NA,NA,NA,"rent",4
"5","utility","FM","NN","utility",NA,"utility",0,NA,"utility",NA,NA,NA,"utility",4
"6","of","FM","IN","of","of","of",0,NA,"of",NA,NA,NA,"of",4
"7","the","FM","DT","the",NA,"the",0,NA,"the",NA,NA,NA,"the",4
"8","deſign","N.Reg.Nom.Pl.Fem","NN","design",NA,"design",0,NA,"design",NA,NA,NA,"design",4
"9",";","SYM.Pun.Sent",":",";",NA,";",1,";",NA,NA,NA,";",";",4
"10","but","CONJ.Coord.-","CC","but",NA,"but",0,NA,"but",NA,NA,NA,"but",4
"11",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA,",",",",4
"12","probably","ADJD.Pos","RB","probably",NA,"probably",0,NA,"probably",NA,NA,NA,"probably",4
"13",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA,",",",",4
"14","not","ADJD.Pos","RB","not",NA,"not",0,NA,"not",NA,NA,NA,"not",4
"15","ſufficiently","FM","RB","sufficiently","sufficiently","sufficiently",0,NA,"sufficiently",NA,NA,NA,"sufficiently",4
"16","apprized","FM","VVN","apprized",NA,"apprized",0,NA,"apprized",NA,NA,NA,"apprized",4
"17","of","FM","IN","of","of","of",0,NA,"of",NA,NA,NA,"of",4
"18","the","FM","DT","the",NA,"the",0,NA,"the",NA,NA,NA,"the",4
"19","labour","FM","NN","labour",NA,"labour",0,NA,"labour",NA,NA,NA,"labour",4
"20","which","VFIN.Full.3.Sg.Past.Ind","WDT","which",NA,"which",0,NA,"which",NA,NA,NA,"which",4
"21","was","FM","VBD","was",NA,"was",0,NA,"was",NA,NA,NA,"was",4
"22","to","FM","TO","to",NA,"to",0,NA,"to",NA,NA,NA,"to",4
"23","attend","FM","VV","attend",NA,"attend",0,NA,"attend",NA,NA,NA,"attend",4
"24","the","FM","DT","the",NA,"the",0,NA,"the",NA,NA,NA,"the",4
"25","undertaking","FM","NN","undertaking",NA,"undertaking",0,NA,"undertaking",NA,NA,NA,"undertaking",4
"26",".","SYM.Pun.Sent","SENT",".",NA,".",1,".",NA,NA,NA,".",".",4
"27","Thus","FM","RB","Thus",NA,"Thus",0,NA,"Thus",NA,NA,NA,"Thus",4
"28","we","PRO.Pers.Subst.1.Nom.Pl.*","PP","we",NA,"we",0,NA,"we",NA,NA,NA,"we",4
"29","find","FM","VVP","find","find","find",0,NA,"find",NA,NA,NA,"find",4
"30","them","ADJA.Pos.Dat.Sg.Neut","PP","them",NA,"them",0,NA,"them",NA,NA,NA,"them",4
"31","contenting","FM","VVG","contenting",NA,"contenting",0,NA,"contenting",NA,NA,NA,"contenting",4
"32","themſelves","FM","NNS","themselves",NA,"themselves",0,NA,"themselves",NA,NA,NA,"themselves",4
"33","with","FM","IN","with",NA,"with",0,NA,"with",NA,NA,NA,"with",4
"34","driving","FM","VVG","driving",NA,"driving",0,NA,"driving",NA,NA,NA,"driving",4
"35","their","FM","PP$","their",NA,"their",0,NA,"their",NA,NA,NA,"their",4
"36","heavy","FM","JJ","heavy",NA,"heavy",0,NA,"heavy",NA,NA,NA,"heavy",4
"37","labours","FM","NNS","labours",NA,"labours",1,"labours",NA,NA,"labours",NA,"labours",4
"38","in","APPR.In","IN","in",NA,"in",0,NA,"in",NA,NA,NA,"in",4
"39","the","FM","DT","the",NA,"the",0,NA,"the",NA,NA,NA,"the",4
"40","track","FM","NN","track",NA,"track",0,NA,"track",NA,NA,NA,"track",4
"41","of","FM","IN","of","of","of",0,NA,"of",NA,NA,NA,"of",4
"42","former","FM","JJ","former","former","former",0,NA,"former",NA,NA,NA,"former",4
"43","error","FM","NN","error",NA,"error",0,NA,"error",NA,NA,NA,"error",4
"44",".","SYM.Pun.Sent","SENT",".",NA,".",1,".",NA,NA,NA,".",".",4
"45","and","FM","CC","and",NA,"and",0,NA,"and",NA,NA,NA,"and",4
"46","never","FM","RB","never",NA,"never",0,NA,"never",NA,NA,NA,"never",4
"47","venturing","FM","VVG","venturing",NA,"venturing",0,NA,"venturing",NA,NA,NA,"venturing",4
"48","from","FM","IN","from","from","from",0,NA,"from",NA,NA,NA,"from",4
"49","the","FM","DT","the",NA,"the",0,NA,"the",NA,NA,NA,"the",4
"50","beaten","FM","JJ","beaten",NA,"beaten",0,NA,"beaten",NA,NA,NA,"beaten",4
"51","road","FM","NN","road",NA,"road",0,NA,"road",NA,NA,NA,"road",4
"52","in","APPR.In","IN","in",NA,"in",0,NA,"in",NA,NA,NA,"in",4
"53","queſt","N.Name.*.*.*","NN","quest",NA,"quest",0,NA,"quest",NA,NA,NA,"quest",4
"54","either","N.Name.*.*.*","CC","either",NA,"either",0,NA,"either",NA,NA,NA,"either",4
"55","of","N.Name.*.*.*","IN","of","of","of",0,NA,"of",NA,NA,NA,"of",4
"56","beauty","FM","NN","beauty",NA,"beauty",0,NA,"beauty",NA,NA,NA,"beauty",4
"57","or","FM","CC","or",NA,"or",0,NA,"or",NA,NA,NA,"or",4
"58","improvement","FM","NN","improvement",NA,"improvement",0,NA,"improvement",NA,NA,NA,"improvement",4
"59",".","SYM.Pun.Sent","SENT",".",NA,".",1,".",NA,NA,NA,".",".",4
"60","It","FM","PP","It",NA,"It",0,NA,"It",NA,NA,NA,"It",4
"61","is","FM","VBZ","is",NA,"is",0,NA,"is",NA,NA,NA,"is",4
"62","true","FM","JJ","true",NA,"true",0,NA,"true",NA,NA,NA,"true",4
"63",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA,",",",",4
"64","however","FM","RB","however",NA,"however",0,NA,"however",NA,NA,NA,"however",4
"65",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA,",",",",4
"66","that","PRO.Dem.Subst.-.Nom.Sg.Neut","IN/that","that",NA,"that",0,NA,"that",NA,NA,NA,"that",4
"67","in","APPR.In","IN","in",NA,"in",0,NA,"in",NA,NA,NA,"in",4
"68","theſe","N.Reg.Dat.Sg.Fem","NN","these",NA,"these",0,NA,"these",NA,NA,NA,"these",4
"69","there","VFIN.Full.3.Sg.Pres.Subj","EX","there",NA,"there",0,NA,"there",NA,NA,NA,"there",4
"70","are","FM","VBP","are",NA,"are",0,NA,"are",NA,NA,NA,"are",4
"71","often","FM","RB","often","often","often",0,NA,"often",NA,NA,NA,"often",4
