"","tok","RF_PoStag","tree_PoStag","tok_2","f.s","tok_3","oed_check","oed_FALSE","oed_TRUE","oed_tt","oed_NNS","punct","tok.to.edit","pdf.page"
"1","PREFACE","N.Name.Nom.Sg.Neut","NN","PREFACE",NA,"PREFACE",0,NA,"PREFACE",NA,NA,NA,"PREFACE",5
"2",".","SYM.Pun.Sent","SENT",".",NA,".",1,".",NA,NA,NA,".",".",5
"3","vii","FM","NN","vii",NA,"vii",1,"vii",NA,NA,NA,NA,NA,5
"4","mation","FM","NN","mation",NA,"mation",1,"mation",NA,NA,NA,NA,NA,5
"5","of","FM","IN","of","of","of",0,NA,"of",NA,NA,NA,"of",5
"6","our","FM","PP$","our",NA,"our",0,NA,"our",NA,NA,NA,"our",5
"7","Caſes","FM","NP","Cases",NA,"Cases",1,"Cases",NA,NA,NA,NA,NA,5
"8",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA,",",",",5
"9","Moods","FM","NNS","Moods",NA,"Moods",0,NA,"Moods",NA,NA,NA,"Moods",5
"10",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA,",",",",5
"11","and","FM","CC","and",NA,"and",0,NA,"and",NA,NA,NA,"and",5
"12","Tenſes","FM","NP","Tenses",NA,"Tenses",1,"Tenses",NA,NA,NA,NA,NA,5
"13",";","SYM.Pun.Sent",":",";",NA,";",1,";",NA,NA,NA,";",";",5
"14","whilſt","FM","JJ","whilst",NA,"whilst",0,NA,"whilst",NA,NA,NA,"whilst",5
"15","others","FM","NNS","others",NA,"others",0,NA,"others",NA,NA,NA,"others",5
"16",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA,",",",",5
"17","on","FM","IN","on",NA,"on",0,NA,"on",NA,NA,NA,"on",5
"18","the","FM","DT","the",NA,"the",0,NA,"the",NA,NA,NA,"the",5
"19","contrary","FM","NN","contrary",NA,"contrary",0,NA,"contrary",NA,NA,NA,"contrary",5
"20",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA,",",",",5
