"","tok","RF_PoStag","tree_PoStag","tok_2","f.s","tok_3","oed_check","oed_FALSE","oed_TRUE","oed_tt","oed_NNS","punct","tok.to.edit","pdf.page"
"1","PRE","N.Name.Nom.Sg.Fem","NP","PRE",NA,"PRE",0,NA,"PRE",NA,NA,NA,"PRE",14
"2","F","SYM.Other.XY","NP","F",NA,"F",0,NA,"F",NA,NA,NA,"F",14
"3","A","SYM.Other.XY","NP","A",NA,"A",0,NA,"A",NA,NA,NA,"A",14
"4","CE","N.Name.Nom.Sg.Neut","NP","CE",NA,"CE",0,NA,"CE",NA,NA,NA,"CE",14
"5",".","SYM.Pun.Sent","SENT",".",NA,".",1,".",NA,NA,NA,".",".",14
"6","XVI","CARD","CD","XVI",NA,"XVI",1,"XVI",NA,NA,NA,NA,NA,14
"7","in","APPR.In","IN","in",NA,"in",0,NA,"in",NA,NA,NA,"in",14
"8","an","N.Name.*.*.*","DT","an",NA,"an",0,NA,"an",NA,NA,NA,"an",14
"9","Aſiatic","N.Name.*.*.*","JJ","Asiatic",NA,"Asiatic",0,NA,"Asiatic",NA,NA,NA,"Asiatic",14
"10","wild","ADJD.Pos","JJ","wild",NA,"wild",0,NA,"wild",NA,NA,NA,"wild",14
"11",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA,",",",",14
"12","may","FM","MD","may",NA,"may",0,NA,"may",NA,NA,NA,"may",14
"13","ſerve","FM","VV","serve",NA,"serve",0,NA,"serve",NA,NA,NA,"serve",14
"14","at","FM","IN","at",NA,"at",0,NA,"at",NA,NA,NA,"at",14
"15","once","FM","RB","once",NA,"once",0,NA,"once",NA,NA,NA,"once",14
"16","to","FM","TO","to",NA,"to",0,NA,"to",NA,NA,NA,"to",14
"17","afford","FM","VV","afford","afford","afford",0,NA,"afford",NA,NA,NA,"afford",14
"18","the","FM","DT","the",NA,"the",0,NA,"the",NA,NA,NA,"the",14
"19","weary","FM","JJ","weary",NA,"weary",0,NA,"weary",NA,NA,NA,"weary",14
"20","traveller","FM","NN","traveller",NA,"traveller",0,NA,"traveller",NA,NA,NA,"traveller",14
"21","reft","VFIN.Full.3.Sg.Pres.Ind","VVD","reft","reft","reft",0,NA,"reft",NA,NA,NA,"reft",14
"22","and","FM","CC","and",NA,"and",0,NA,"and",NA,NA,NA,"and",14
"23","refreſhment","FM","NN","refreshment","refreshment","refreshment",0,NA,"refreshment",NA,NA,NA,"refreshment",14
"24",".","SYM.Pun.Sent","SENT",".",NA,".",1,".",NA,NA,NA,".",".",14
"25","The","FM","DT","The",NA,"The",0,NA,"The",NA,NA,NA,"The",14
"26","pronunciation","FM","NN","pronunciation",NA,"pronunciation",0,NA,"pronunciation",NA,NA,NA,"pronunciation",14
"27","beig","ADJD.Pos","NN","beig",NA,"beig",1,"beig",NA,NA,NA,NA,NA,14
"28","thus","FM","RB","thus",NA,"thus",0,NA,"thus",NA,NA,NA,"thus",14
"29","ſettled","FM","VVN","settled",NA,"settled",0,NA,"settled",NA,NA,NA,"settled",14
"30",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA,",",",",14
"31","the","FM","DT","the",NA,"the",0,NA,"the",NA,NA,NA,"the",14
"32","tutor's","FM","JJ","tutor's",NA,"tutor's",1,"tutor's",NA,NA,NA,NA,NA,14
"33","next","ADJA.Pos.Acc.Sg.*","JJ","next",NA,"next",0,NA,"next",NA,NA,NA,"next",14
"34","care","FM","NN","care",NA,"care",0,NA,"care",NA,NA,NA,"care",14
"35","ſhould","FM","NN","should",NA,"should",0,NA,"should",NA,NA,NA,"should",14
"36","be","FM","VB","be",NA,"be",0,NA,"be",NA,NA,NA,"be",14
"37","to","FM","TO","to",NA,"to",0,NA,"to",NA,NA,NA,"to",14
"38","inſtruct","FM","VV","instruct",NA,"instruct",0,NA,"instruct",NA,NA,NA,"instruct",14
"39","his","FM","PP$","his",NA,"his",0,NA,"his",NA,NA,NA,"his",14
"40","pupil","FM","NN","pupil",NA,"pupil",0,NA,"pupil",NA,NA,NA,"pupil",14
"41","in","APPR.In","IN","in",NA,"in",0,NA,"in",NA,NA,NA,"in",14
"42","the","FM","DT","the",NA,"the",0,NA,"the",NA,NA,NA,"the",14
"43","declenſion","N.Reg.Dat.Sg.Fem","NN","declension",NA,"declension",0,NA,"declension",NA,NA,NA,"declension",14
"44","of","FM","IN","of","of","of",0,NA,"of",NA,NA,NA,"of",14
"45","nouns","FM","NNS","nouns",NA,"nouns",0,NA,"nouns",NA,NA,NA,"nouns",14
"46",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA,",",",",14
"47","and","FM","CC","and",NA,"and",0,NA,"and",NA,NA,NA,"and",14
"48","the","FM","DT","the",NA,"the",0,NA,"the",NA,NA,NA,"the",14
"49","conjugation","FM","NN","conjugation",NA,"conjugation",0,NA,"conjugation",NA,NA,NA,"conjugation",14
"50","of","FM","IN","of","of","of",0,NA,"of",NA,NA,NA,"of",14
"51","ſome","FM","NN","some",NA,"some",0,NA,"some",NA,NA,NA,"some",14
"52","verbs","FM","NNS","verbs",NA,"verbs",1,"verbs",NA,NA,"verbs",NA,"verbs",14
"53",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA,",",",",14
"54","as","ADV","IN","as",NA,"as",0,NA,"as",NA,NA,NA,"as",14
"55","they","FM","PP","they",NA,"they",0,NA,"they",NA,NA,NA,"they",14
"56","ſtand","FM","NN","stand",NA,"stand",0,NA,"stand",NA,NA,NA,"stand",14
"57","in","APPR.In","IN","in",NA,"in",0,NA,"in",NA,NA,NA,"in",14
"58","the","N.Name.*.*.*","DT","the",NA,"the",0,NA,"the",NA,NA,NA,"the",14
"59","Grammar","N.Name.Dat.Sg.Neut","NN","Grammar",NA,"Grammar",0,NA,"Grammar",NA,NA,NA,"Grammar",14
"60",";","SYM.Pun.Sent",":",";",NA,";",1,";",NA,NA,NA,";",";",14
"61","and","N.Name.*.*.*","CC","and",NA,"and",0,NA,"and",NA,NA,NA,"and",14
"62","theſe","N.Name.*.*.*","RB","these",NA,"these",0,NA,"these",NA,NA,NA,"these",14
"63","the","N.Name.*.*.*","DT","the",NA,"the",0,NA,"the",NA,NA,NA,"the",14
"64","ſcholar","N.Name.*.*.*","JJ","scholar",NA,"scholar",0,NA,"scholar",NA,NA,NA,"scholar",14
"65","ſhould","N.Name.*.*.*","NN","should",NA,"should",0,NA,"should",NA,NA,NA,"should",14
"66","by","FM","IN","by",NA,"by",0,NA,"by",NA,NA,NA,"by",14
"67","all","FM","DT","all",NA,"all",0,NA,"all",NA,NA,NA,"all",14
"68","means","FM","NNS","means",NA,"means",0,NA,"means",NA,NA,NA,"means",14
"69","get","FM","VVP","get",NA,"get",0,NA,"get",NA,NA,NA,"get",14
"70","by","FM","IN","by",NA,"by",0,NA,"by",NA,NA,NA,"by",14
"71","heart","FM","NN","heart",NA,"heart",0,NA,"heart",NA,NA,NA,"heart",14
"72",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA,",",",",14
"73","as","ADV","RB","as",NA,"as",0,NA,"as",NA,NA,NA,"as",14
"74","in","APPR.In","IN","in",NA,"in",0,NA,"in",NA,NA,NA,"in",14
"75","learning","FM","VVG","learning",NA,"learning",0,NA,"learning",NA,NA,NA,"learning",14
"76","the","FM","DT","the",NA,"the",0,NA,"the",NA,NA,NA,"the",14
"77","Latin","N.Name.Dat.Sg.*","NP","Latin",NA,"Latin",0,NA,"Latin",NA,NA,NA,"Latin",14
"78","or","FM","CC","or",NA,"or",0,NA,"or",NA,NA,NA,"or",14
"79","Fretich","ADJD.Pos","NP","Fretich",NA,"Fretich",1,"Fretich",NA,NA,NA,NA,NA,14
"80","languages","ADJA.Pos.Acc.Sg.Neut","NNS","languages",NA,"languages",1,"languages",NA,NA,"languages",NA,"languages",14
"81",";","SYM.Pun.Sent",":",";",NA,";",1,";",NA,NA,NA,";",";",14
"82","but","CONJ.Coord.-","CC","but",NA,"but",0,NA,"but",NA,NA,NA,"but",14
"83","with","FM","IN","with",NA,"with",0,NA,"with",NA,NA,NA,"with",14
"84","reſpect","FM","NN","respect",NA,"respect",0,NA,"respect",NA,NA,NA,"respect",14
"85","to","FM","TO","to",NA,"to",0,NA,"to",NA,NA,NA,"to",14
"86","the","FM","DT","the",NA,"the",0,NA,"the",NA,NA,NA,"the",14
"87","remarks","FM","NNS","remarks",NA,"remarks",1,"remarks",NA,NA,"remarks",NA,"remarks",14
"88","and","FM","CC","and",NA,"and",0,NA,"and",NA,NA,NA,"and",14
"89","other","N.Name.*.*.*","JJ","other",NA,"other",0,NA,"other",NA,NA,NA,"other",14
"90","ſpeculative","FM","JJ","speculative",NA,"speculative",0,NA,"speculative",NA,NA,NA,"speculative",14
"91","rules","FM","NNS","rules",NA,"rules",0,NA,"rules",NA,NA,NA,"rules",14
"92",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA,",",",",14
"93","a","FM","DT","a",NA,"a",0,NA,"a",NA,NA,NA,"a",14
"94","diligent","FM","JJ","diligent",NA,"diligent",0,NA,"diligent",NA,NA,NA,"diligent",14
"95","perufal","FM","NN","perufal","perufal","perufal",1,"perufal",NA,NA,NA,NA,NA,14
"96","will","FM","MD","will",NA,"will",0,NA,"will",NA,NA,NA,"will",14
"97","be","FM","VB","be",NA,"be",0,NA,"be",NA,NA,NA,"be",14
"98","fufficient","FM","JJ","fufficient","fufficient","fufficient",1,"fufficient",NA,NA,NA,NA,NA,14
"99",".","SYM.Pun.Sent","SENT",".",NA,".",1,".",NA,NA,NA,".",".",14
"100","As","FM","IN","As",NA,"As",0,NA,"As",NA,NA,NA,"As",14
"101","to","FM","TO","to",NA,"to",0,NA,"to",NA,NA,NA,"to",14
"102","the","FM","DT","the",NA,"the",0,NA,"the",NA,NA,NA,"the",14
"103","ornaments","FM","NNS","ornaments",NA,"ornaments",0,NA,"ornaments",NA,NA,NA,"ornaments",14
"104","of","FM","IN","of","of","of",0,NA,"of",NA,NA,NA,"of",14
"105","ſtyle","FM","NN","style",NA,"style",0,NA,"style",NA,NA,NA,"style",14
"106",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA,",",",",14
"107","they","FM","PP","they",NA,"they",0,NA,"they",NA,NA,NA,"they",14
"108","are","FM","VBP","are",NA,"are",0,NA,"are",NA,NA,NA,"are",14
"109","fitter","FM","JJR","fitter","fitter","fitter",0,NA,"fitter",NA,NA,NA,"fitter",14
"110","for","FM","IN","for","for","for",0,NA,"for",NA,NA,NA,"for",14
"111","the","FM","DT","the",NA,"the",0,NA,"the",NA,NA,NA,"the",14
"112","more","FM","RBR","more",NA,"more",0,NA,"more",NA,NA,NA,"more",14
"113","advanced","FM","JJ","advanced",NA,"advanced",0,NA,"advanced",NA,NA,NA,"advanced",14
"114","ſtudent","FM","NN","student",NA,"student",0,NA,"student",NA,NA,NA,"student",14
"115","than","VPP.Full.Psp","IN","than",NA,"than",0,NA,"than",NA,NA,NA,"than",14
"116","our","FM","PP$","our",NA,"our",0,NA,"our",NA,NA,NA,"our",14
"117","voung","FM","JJ","voung",NA,"voung",1,"voung",NA,NA,NA,NA,NA,14
"118","beginner","FM","NN","beginner",NA,"beginner",0,NA,"beginner",NA,NA,NA,"beginner",14
"119",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA,",",",",14
"120","however","FM","RB","however",NA,"however",0,NA,"however",NA,NA,NA,"however",14
"121",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA,",",",",14
"122","the","FM","DT","the",NA,"the",0,NA,"the",NA,NA,NA,"the",14
"123","teacher","ADJA.Pos.Nom.Sg.Masc","NN","teacher",NA,"teacher",0,NA,"teacher",NA,NA,NA,"teacher",14
"124","ſhould","FM","NN","should",NA,"should",0,NA,"should",NA,NA,NA,"should",14
"125","not","ADJD.Pos","RB","not",NA,"not",0,NA,"not",NA,NA,NA,"not",14
"126","totally","FM","RB","totally",NA,"totally",0,NA,"totally",NA,NA,NA,"totally",14
"127","omit","FM","VV","omit",NA,"omit",0,NA,"omit",NA,NA,NA,"omit",14
"128","this","FM","DT","this",NA,"this",0,NA,"this",NA,NA,NA,"this",14
"129","part","FM","NN","part",NA,"part",0,NA,"part",NA,NA,NA,"part",14
"130","of","FM","IN","of","of","of",0,NA,"of",NA,NA,NA,"of",14
"131","his","FM","PP$","his",NA,"his",0,NA,"his",NA,NA,NA,"his",14
"132","pupil's","FM","NN","pupil's",NA,"pupil's",1,"pupil's",NA,NA,NA,NA,NA,14
"133","education","FM","NN","education",NA,"education",0,NA,"education",NA,NA,NA,"education",14
"134",".","SYM.Pun.Sent","SENT",".",NA,".",1,".",NA,NA,NA,".",".",14
"135","1le","FM","JJ","1le",NA,"1le",1,"1le",NA,NA,NA,NA,NA,14
"136","fhould","FM","NN","fhould","fhould","fhould",1,"fhould",NA,NA,NA,NA,NA,14
"137","inſtruct","FM","VV","instruct",NA,"instruct",0,NA,"instruct",NA,NA,NA,"instruct",14
"138","him","FM","PP","him",NA,"him",0,NA,"him",NA,NA,NA,"him",14
"139","in","APPR.In","IN","in",NA,"in",0,NA,"in",NA,NA,NA,"in",14
"140","the","FM","DT","the",NA,"the",0,NA,"the",NA,NA,NA,"the",14
"141","elegance","FM","NN","elegance",NA,"elegance",0,NA,"elegance",NA,NA,NA,"elegance",14
"142","of","FM","IN","of","of","of",0,NA,"of",NA,NA,NA,"of",14
"143","compofition","FM","NN","compofition","compofition","compofition",1,"compofition",NA,NA,NA,NA,NA,14
"144",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA,",",",",14
"145","rather","ADJD.Comp","RB","rather",NA,"rather",0,NA,"rather",NA,NA,NA,"rather",14
"146","by","FM","IN","by",NA,"by",0,NA,"by",NA,NA,NA,"by",14
"147","example","FM","NN","example",NA,"example",0,NA,"example",NA,NA,NA,"example",14
"148","than","VPP.Full.Psp","IN","than",NA,"than",0,NA,"than",NA,NA,NA,"than",14
"149","by","FM","IN","by",NA,"by",0,NA,"by",NA,NA,NA,"by",14
"150","mere","FM","JJ","mere",NA,"mere",0,NA,"mere",NA,NA,NA,"mere",14
"151","precept","VFIN.Full.3.Sg.Pres.Ind","NN","precept",NA,"precept",0,NA,"precept",NA,NA,NA,"precept",14
"152",".","SYM.Pun.Sent","SENT",".",NA,".",1,".",NA,NA,NA,".",".",14
"153","He","ITJ","PP","He",NA,"He",0,NA,"He",NA,NA,NA,"He",14
"154","fhould","ADJD.Pos","VVP","fhould","fhould","fhould",1,"fhould",NA,NA,NA,NA,NA,14
"155","appoint","VPP.Full.Psp","VV","appoint",NA,"appoint",0,NA,"appoint",NA,NA,NA,"appoint",14
"156","him","FM","PP","him",NA,"him",0,NA,"him",NA,NA,NA,"him",14
"157","as","ADV","IN","as",NA,"as",0,NA,"as",NA,NA,NA,"as",14
"158","a","FM","DT","a",NA,"a",0,NA,"a",NA,NA,NA,"a",14
"159","tafk","FM","NN","tafk","tafk","tafk",1,"tafk",NA,NA,NA,NA,NA,14
"160",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA,",",",",14
"161","either","ADJD.Comp","CC","either",NA,"either",0,NA,"either",NA,NA,NA,"either",14
"162","to","FM","TO","to",NA,"to",0,NA,"to",NA,NA,NA,"to",14
"163","ſpeak","FM","VV","speak",NA,"speak",0,NA,"speak",NA,NA,NA,"speak",14
"164","after","FM","IN","after","after","after",0,NA,"after",NA,NA,NA,"after",14
"165",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA,",",",",14
"166","or","FM","CC","or",NA,"or",0,NA,"or",NA,NA,NA,"or",14
"167","tranſcribe","FM","VV","transcribe",NA,"transcribe",0,NA,"transcribe",NA,NA,NA,"transcribe",14
"168","the","FM","DT","the",NA,"the",0,NA,"the",NA,NA,NA,"the",14
"169","beſt","FM","NN","best",NA,"best",0,NA,"best",NA,NA,NA,"best",14
"170","authors","FM","NNS","authors",NA,"authors",1,"authors",NA,NA,"authors",NA,"authors",14
"171",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA,",",",",14
"172","and","FM","CC","and",NA,"and",0,NA,"and",NA,NA,NA,"and",14
"173","his","FM","PP$","his",NA,"his",0,NA,"his",NA,NA,NA,"his",14
"174","own","FM","JJ","own",NA,"own",0,NA,"own",NA,NA,NA,"own",14
"175","taſte","N.Reg.Nom.Pl.Neut","NN","taste",NA,"taste",0,NA,"taste",NA,NA,NA,"taste",14
"176","fhould","FM","NN","fhould","fhould","fhould",1,"fhould",NA,NA,NA,NA,NA,14
"177","direct","FM","JJ","direct",NA,"direct",0,NA,"direct",NA,NA,NA,"direct",14
"178","to","FM","TO","to",NA,"to",0,NA,"to",NA,NA,NA,"to",14
"179","the","FM","DT","the",NA,"the",0,NA,"the",NA,NA,NA,"the",14
"180","propereſt","FM","NN","properest",NA,"properest",1,"properest",NA,NA,NA,NA,NA,14
"181","models","FM","NNS","models",NA,"models",0,NA,"models",NA,NA,NA,"models",14
"182","to","FM","TO","to",NA,"to",0,NA,"to",NA,NA,NA,"to",14
"183","copy","FM","VV","copy",NA,"copy",0,NA,"copy",NA,NA,NA,"copy",14
"184","from","FM","IN","from","from","from",0,NA,"from",NA,NA,NA,"from",14
"185",".","SYM.Pun.Sent","SENT",".",NA,".",1,".",NA,NA,NA,".",".",14
"186","Were","FM","VBD","Were",NA,"Were",0,NA,"Were",NA,NA,NA,"Were",14
"187","I","FM","PP","I",NA,"I",0,NA,"I",NA,NA,NA,"I",14
"188","to","FM","TO","to",NA,"to",0,NA,"to",NA,NA,NA,"to",14
"189","advife","FM","JJ","advife","advife","advife",1,"advife",NA,NA,NA,NA,NA,14
"190","beginners","FM","NNS","beginners",NA,"beginners",1,"beginners",NA,NA,"beginners",NA,"beginners",14
"191",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA,",",",",14
"192","eſpecially","N.Reg.Acc.Sg.Neut","RB","especially",NA,"especially",0,NA,"especially",NA,NA,NA,"especially",14
"193","children","VINF.Full.zu","NNS","children",NA,"children",0,NA,"children",NA,NA,NA,"children",14
"194",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA,",",",",14
"195","they","FM","PP","they",NA,"they",0,NA,"they",NA,NA,NA,"they",14
"196","ſhould","FM","VVP","should",NA,"should",0,NA,"should",NA,NA,NA,"should",14
"197","read","FM","VV","read",NA,"read",0,NA,"read",NA,NA,NA,"read",14
"198","only","FM","JJ","only",NA,"only",0,NA,"only",NA,NA,NA,"only",14
"199","ſuch","FM","NN","such",NA,"such",0,NA,"such",NA,NA,NA,"such",14
"200","Beoks","FM","NNS","Beoks",NA,"Beoks",1,"Beoks",NA,NA,"Beoks",NA,"Beoks",14
"201","as","ADV","RB","as",NA,"as",0,NA,"as",NA,NA,NA,"as",14
"202","are","FM","VBP","are",NA,"are",0,NA,"are",NA,NA,NA,"are",14
"203","caſily","FM","RB","casily",NA,"casily",1,"casily",NA,NA,"casily",NA,"casily",14
"204","underſtood","FM","JJ","understood",NA,"understood",0,NA,"understood",NA,NA,NA,"understood",14
"205",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA,",",",",14
"206","and","FM","CC","and",NA,"and",0,NA,"and",NA,NA,NA,"and",14
"207","written","FM","VVN","written",NA,"written",0,NA,"written",NA,NA,NA,"written",14
"208","in","APPR.In","IN","in",NA,"in",0,NA,"in",NA,NA,NA,"in",14
"209","the","FM","DT","the",NA,"the",0,NA,"the",NA,NA,NA,"the",14
"210","moſt","FM","JJ","most",NA,"most",0,NA,"most",NA,NA,NA,"most",14
"211","plain","FM","JJ","plain",NA,"plain",0,NA,"plain",NA,NA,NA,"plain",14
"212","and","FM","CC","and",NA,"and",0,NA,"and",NA,NA,NA,"and",14
"213","natural","FM","JJ","natural",NA,"natural",0,NA,"natural",NA,NA,NA,"natural",14
"214","ſtyle","FM","NN","style",NA,"style",0,NA,"style",NA,NA,NA,"style",14
"215",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA,",",",",14
"216","upon","FM","IN","upon",NA,"upon",0,NA,"upon",NA,NA,NA,"upon",14
"217","ſubſects","FM","NNS","subsects",NA,"subsects",1,"subsects",NA,NA,"subsects",NA,"subsects",14
