"","tok","RF_PoStag","tree_PoStag","tok_2","f.s","tok_3","oed_check","oed_FALSE","oed_TRUE","oed_tt","oed_NNS","punct","tok.to.edit","pdf.page"
"1","M","SYM.Other.XY","NN","M",NA,"M",0,NA,"M",NA,NA,NA,"M",193
"2","*","SYM.Other.XY","SYM","*",NA,"*",0,NA,"*",NA,NA,NA,"*",193
"3","%","N.Reg.Nom.Sg.Neut","NN","%",NA,"%",1,"%",NA,NA,NA,NA,NA,193
"4","A","N.Name.Nom.Sg.*","DT","A",NA,"A",0,NA,"A",NA,NA,NA,"A",193
"5",".","SYM.Pun.Sent","SENT",".",NA,".",1,".",NA,NA,NA,".",".",193
"6","4000","CARD","CD","4000",NA,"4000",1,"4000",NA,NA,NA,NA,NA,193
"7","440","CARD","CD","440",NA,"440",1,"440",NA,NA,NA,NA,NA,193
"8","3","CARD","CD","3",NA,"3",0,NA,"3",NA,NA,NA,"3",193
"9","Le","N.Name.*.*.*","NP","Le",NA,"Le",1,"Le",NA,NA,NA,NA,NA,193
"10","kn","N.Name.Nom.Sg.*","NN","kn",NA,"kn",1,"kn",NA,NA,NA,NA,NA,193
"11","P","N.Name.*.*.*","NN","P",NA,"P",0,NA,"P",NA,NA,NA,"P",193
"12","4","CARD","CD","4",NA,"4",0,NA,"4",NA,NA,NA,"4",193
"13","6c","CARD","NN","6c",NA,"6c",1,"6c",NA,NA,NA,NA,NA,193
"14","§","SYM.Other.XY","SYM","§",NA,"§",1,"§",NA,NA,NA,NA,NA,193
"15","0","CARD","CD","0",NA,"0",0,NA,"0",NA,NA,NA,"0",193
"16","8","CARD","CD","8",NA,"8",1,"8",NA,NA,NA,NA,NA,193
"17","☚","FM","NN","☚",NA,"☚",1,"☚",NA,NA,NA,NA,NA,193
"18","coce","FM","NN","coce",NA,"coce",1,"coce",NA,NA,NA,NA,NA,193
"19","8","CARD","CD","8",NA,"8",1,"8",NA,NA,NA,NA,NA,193
"20","RR","N.Reg.Nom.*.*","NP","RR",NA,"RR",1,"RR",NA,NA,NA,NA,NA,193
"21","₰","CARD","NN","₰",NA,"₰",1,"₰",NA,NA,NA,NA,NA,193
"22","60","CARD","CD","60",NA,"60",1,"60",NA,NA,NA,NA,NA,193
"23","2","CARD","CD","2",NA,"2",0,NA,"2",NA,NA,NA,"2",193
"24","K","SYM.Other.XY","NN","K",NA,"K",0,NA,"K",NA,NA,NA,"K",193
"25","A","SYM.Other.XY","DT","A",NA,"A",0,NA,"A",NA,NA,NA,"A",193
"26","2n","N.Reg.Nom.Pl.Fem","JJ","2n",NA,"2n",1,"2n",NA,NA,NA,NA,NA,193
"27","RE","N.Reg.Nom.Sg.Neut","NN","RE",NA,"RE",0,NA,"RE",NA,NA,NA,"RE",193
"28",".","SYM.Pun.Sent","SENT",".",NA,".",1,".",NA,NA,NA,".",".",193
"29","TH","N.Name.Nom.Sg.Neut","NN","TH",NA,"TH",1,"TH",NA,NA,NA,NA,NA,193
"30","B","SYM.Other.XY","NP","B",NA,"B",0,NA,"B",NA,NA,NA,"B",193
"31","F","SYM.Other.XY","NP","F",NA,"F",0,NA,"F",NA,NA,NA,"F",193
"32","△","CARD","NP","△",NA,"△",1,"△",NA,NA,NA,NA,NA,193
"33","C","SYM.Other.XY","NP","C",NA,"C",0,NA,"C",NA,NA,NA,"C",193
"34","E","SYM.Other.XY","NP","E",NA,"E",0,NA,"E",NA,NA,NA,"E",193
"35",".","SYM.Pun.Sent","SENT",".",NA,".",1,".",NA,NA,NA,".",".",193
"36","PF","N.Name.Nom.Sg.*","NP","PF",NA,"PF",1,"PF",NA,NA,NA,NA,NA,193
"37","all","FM","DT","all",NA,"all",0,NA,"all",NA,NA,NA,"all",193
"38","parts","FM","NNS","parts",NA,"parts",0,NA,"parts",NA,NA,NA,"parts",193
"39","of","FM","IN","of","of","of",0,NA,"of",NA,NA,NA,"of",193
"40","learning","FM","VVG","learning",NA,"learning",0,NA,"learning",NA,NA,NA,"learning",193
"41","which","VFIN.Full.3.Sg.Past.Ind","WDT","which",NA,"which",0,NA,"which",NA,NA,NA,"which",193
"42","⸗","N.Name.*.*.*","NN","⸗",NA,"⸗",1,"⸗",NA,NA,NA,NA,NA,193
"43",NA,"N.Name.Nom.Sg.*","TO",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,193
"44","N","SYM.Other.XY","NP","N",NA,"N",0,NA,"N",NA,NA,NA,"N",193
"45","our","FM","PP$","our",NA,"our",0,NA,"our",NA,NA,NA,"our",193
"46","countrymen","FM","NNS","countrymen",NA,"countrymen",1,"countrymen",NA,NA,"countrymen",NA,"countrymen",193
"47","have","VFIN.Aux.1.Sg.Pres.Ind","VHP","have",NA,"have",0,NA,"have",NA,NA,NA,"have",193
"48","cultivat","FM","NNS","cultivat",NA,"cultivat",1,"cultivat",NA,NA,"cultivat",NA,"cultivat",193
"49","*","SYM.Other.Aster","SYM","*",NA,"*",0,NA,"*",NA,NA,NA,"*",193
"50","₰","FM","JJ","₰",NA,"₰",1,"₰",NA,NA,NA,NA,NA,193
"51","◻","FM","NN","◻",NA,"◻",1,"◻",NA,NA,NA,NA,NA,193
"52","8","CARD","CD","8",NA,"8",1,"8",NA,NA,NA,NA,NA,193
"53","L","N.Name.*.*.*","NP","L",NA,"L",0,NA,"L",NA,NA,NA,"L",193
"54","K.A","N.Name.*.*.*","NP","K.A",NA,"K.A",1,"K.A",NA,NA,NA,NA,NA,193
"55","R","N.Name.*.*.*","NP","R",NA,"R",0,NA,"R",NA,NA,NA,"R",193
"56","ed","FM","NN","ed",NA,"ed",1,"ed",NA,NA,NA,NA,NA,193
"57",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA,",",",",193
"58","during","FM","IN","during",NA,"during",0,NA,"during",NA,NA,NA,"during",193
"59","this","FM","DT","this",NA,"this",0,NA,"this",NA,NA,NA,"this",193
"60","laft","VPP.Full.Psp","NN","laft","laft","laft",1,"laft",NA,NA,NA,NA,NA,193
"61","century","FM","NN","century",NA,"century",0,NA,"century",NA,NA,NA,"century",193
