"","tok","RF_PoStag","tree_PoStag","tok_2","f.s","tok_3","oed_check","oed_FALSE","oed_TRUE","oed_tt","oed_NNS"
"33","their","FM","PP$","their",NA,"their",0,NA,"their",NA,NA
"34","own","FM","JJ","own",NA,"own",0,NA,"own",NA,NA
"35","Tongue","FM","NP","Tongue",NA,"Tongue",0,NA,"Tongue",NA,NA
"36",".","SYM.Pun.Sent","SENT",".",NA,".",1,".",NA,NA,NA
"37","In","FM","IN","In",NA,"In",0,NA,"In",NA,NA
"38","T","N.Name.*.*.*","NN","T",NA,"T",0,NA,"T",NA,NA
"39","WO","N.Name.*.*.*","MD","WO",NA,"WO",0,NA,"WO",NA,NA
"40","PARTS","N.Name.Nom.Sg.*","NNS","PARTS",NA,"PARTS",0,NA,"PARTS",NA,NA
"41",".","SYM.Pun.Sent","SENT",".",NA,".",1,".",NA,NA,NA
"42","CONTAfNINc","N.Name.Nom.Sg.*","NP","CONTAfNINc","CONTAfNINc","CONTAfNINc",1,"CONTAfNINc",NA,NA,NA
"43",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA
"44","I","FM","NP","I",NA,"I",0,NA,"I",NA,NA
"45",".","SYM.Pun.Sent","SENT",".",NA,".",1,".",NA,NA,NA
"46","An","APPR.An","DT","An",NA,"An",0,NA,"An",NA,NA
"47","exact","FM","JJ","exact",NA,"exact",0,NA,"exact",NA,NA
"48","Analyſis","FM","NP","Analysis",NA,"Analysis",0,NA,"Analysis",NA,NA
"49","and","FM","CC","and",NA,"and",0,NA,"and",NA,NA
"50","proper","ADJD.Pos","JJ","proper",NA,"proper",0,NA,"proper",NA,NA
"51","Diviſion","N.Name.*.*.*","NN","Division",NA,"Division",0,NA,"Division",NA,NA
"52","of","N.Name.*.*.*","IN","of","of","of",0,NA,"of",NA,NA
"53","Sound","N.Name.*.*.*","NP","Sound",NA,"Sound",0,NA,"Sound",NA,NA
"54",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA
"55","ſo","FM","NN","so",NA,"so",0,NA,"so",NA,NA
"56","far","FM","RB","far","far","far",0,NA,"far",NA,NA
"57","as","ADV","IN","as",NA,"as",0,NA,"as",NA,NA
"58","it","FM","PP","it",NA,"it",0,NA,"it",NA,NA
"59","regards","FM","VVZ","regards",NA,"regards",0,NA,"regards",NA,NA
"60","Pronunciation","FM","NN","Pronunciation",NA,"Pronunciation",0,NA,"Pronunciation",NA,NA
"61",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA
"62","in","APPR.In","IN","in",NA,"in",0,NA,"in",NA,NA
"63","all","FM","PDT","all",NA,"all",0,NA,"all",NA,NA
"64","its","FM","PP$","its",NA,"its",0,NA,"its",NA,NA
"65","Variety","FM","NN","Variety",NA,"Variety",0,NA,"Variety",NA,NA
"66",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA
"67","according","FM","VVG","according",NA,"according",0,NA,"according",NA,NA
"68","to","FM","TO","to",NA,"to",0,NA,"to",NA,NA
"69","the","FM","DT","the",NA,"the",0,NA,"the",NA,NA
"70","true","FM","JJ","true",NA,"true",0,NA,"true",NA,NA
"71","Genius","N.Reg.Nom.Sg.Masc","NN","Genius",NA,"Genius",0,NA,"Genius",NA,NA
"72","and","FM","CC","and",NA,"and",0,NA,"and",NA,NA
"73","Idiom","N.Reg.Nom.Sg.Neut","NN","Idiom",NA,"Idiom",0,NA,"Idiom",NA,NA
"74","of","FM","IN","of","of","of",0,NA,"of",NA,NA
"75","the","FM","DT","the",NA,"the",0,NA,"the",NA,NA
"76","Exciisn","FM","NP","Exciisn",NA,"Exciisn",1,"Exciisn",NA,NA,NA
"77","Language","FM","NP","Language",NA,"Language",0,NA,"Language",NA,NA
"78",".","SYM.Pun.Sent","SENT",".",NA,".",1,".",NA,NA,NA
"79","II","CARD","NP","II",NA,"II",1,"II",NA,NA,NA
"80",".","SYM.Pun.Sent","SENT",".",NA,".",1,".",NA,NA,NA
"81","The","N.Name.*.*.*","DT","The",NA,"The",0,NA,"The",NA,NA
"82","eight","VFIN.Full.3.Sg.Pres.Ind","CD","eight",NA,"eight",0,NA,"eight",NA,NA
