"","tok","RF_PoStag","tree_PoStag","tok_2","f.s","tok_3","oed_check","oed_FALSE","oed_TRUE","oed_tt","oed_NNS","punct","tok.to.edit","pdf.page"
"1","PREFACE","N.Name.Nom.Sg.Neut","NN","PREFACE",NA,"PREFACE",0,NA,"PREFACE",NA,NA,NA,"PREFACE",16
"2",".","SYM.Pun.Sent","SENT",".",NA,".",1,".",NA,NA,NA,".",".",16
"3","XViII","CARD","NP","XViII",NA,"XViII",1,"XViII",NA,NA,NA,NA,NA,16
"4","ing","SYM.Other.Auth","NNS","ing",NA,"ing",0,NA,"ing",NA,NA,NA,"ing",16
"5","in","APPR.In","IN","in",NA,"in",0,NA,"in",NA,NA,NA,"in",16
"6","ſome","N.Reg.Dat.Sg.Fem","NN","some",NA,"some",0,NA,"some",NA,NA,NA,"some",16
"7","of","FM","IN","of","of","of",0,NA,"of",NA,NA,NA,"of",16
"8","theſe","FM","JJ","these",NA,"these",0,NA,"these",NA,NA,NA,"these",16
"9","productions","FM","NNS","productions",NA,"productions",1,"productions",NA,NA,"productions",NA,"productions",16
"10",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA,",",",",16
"11","his","FM","PP$","his",NA,"his",0,NA,"his",NA,NA,NA,"his",16
"12","tutor","FM","NN","tutor",NA,"tutor",0,NA,"tutor",NA,NA,NA,"tutor",16
"13","ſhould","FM","NN","should",NA,"should",0,NA,"should",NA,NA,NA,"should",16
"14","be","FM","VB","be",NA,"be",0,NA,"be",NA,NA,NA,"be",16
"15","very","ADV","RB","very",NA,"very",0,NA,"very",NA,NA,NA,"very",16
"16","careful","FM","JJ","careful","careful","careful",0,NA,"careful",NA,NA,NA,"careful",16
"17","to","FM","TO","to",NA,"to",0,NA,"to",NA,NA,NA,"to",16
"18","explam","FM","NN","explam",NA,"explam",1,"explam",NA,NA,NA,NA,NA,16
"19","it","FM","PP","it",NA,"it",0,NA,"it",NA,NA,NA,"it",16
"20",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA,",",",",16
"21","to","FM","TO","to",NA,"to",0,NA,"to",NA,NA,NA,"to",16
