"","tok","RF_PoStag","tree_PoStag","tok_2","f.s","tok_3","oed_check","oed_FALSE","oed_TRUE","oed_tt","oed_NNS","punct","tok.to.edit","pdf.page"
"1","PREFACE","N.Name.Nom.Sg.Neut","NN","PREFACE",NA,"PREFACE",0,NA,"PREFACE",NA,NA,NA,"PREFACE",18
"2",".","SYM.Pun.Sent","SENT",".",NA,".",1,".",NA,NA,NA,".",".",18
"3","XX","CARD","CD","XX",NA,"XX",0,NA,"XX",NA,NA,NA,"XX",18
"4","general","ADJD.Pos","JJ","general",NA,"general",0,NA,"general",NA,NA,NA,"general",18
"5","aflertion","FM","NN","aflertion","aflertion","aflertion",1,"aflertion",NA,NA,NA,NA,NA,18
"6",";","SYM.Pun.Sent",":",";",NA,";",1,";",NA,NA,NA,";",";",18
"7","yet","FM","RB","yet",NA,"yet",0,NA,"yet",NA,NA,NA,"yet",18
"8","after","FM","IN","after","after","after",0,NA,"after",NA,NA,NA,"after",18
"9","all","FM","DT","all",NA,"all",0,NA,"all",NA,NA,NA,"all",18
"10",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA,",",",",18
"11","ſomething","N.Reg.Nom.Sg.Fem","VVG","something",NA,"something",0,NA,"something",NA,NA,NA,"something",18
"12","complete","FM","JJ","complete",NA,"complete",0,NA,"complete",NA,NA,NA,"complete",18
"13","may","FM","MD","may",NA,"may",0,NA,"may",NA,NA,NA,"may",18
"14","refult","VFIN.Full.3.Sg.Pres.Ind","VV","refult","refult","refult",1,"refult",NA,NA,NA,NA,NA,18
"15","from","FM","IN","from","from","from",0,NA,"from",NA,NA,NA,"from",18
"16","the","FM","DT","the",NA,"the",0,NA,"the",NA,NA,NA,"the",18
"17","fucceflive","FM","JJ","fucceflive","fucceflive","fucceflive",1,"fucceflive",NA,NA,NA,NA,NA,18
"18","application","FM","NN","application",NA,"application",0,NA,"application",NA,NA,NA,"application",18
"19","of","FM","IN","of","of","of",0,NA,"of",NA,NA,NA,"of",18
"20","different","FM","JJ","different","different","different",0,NA,"different",NA,NA,NA,"different",18
"21","abilities","FM","NNS","abilities",NA,"abilities",1,"abilities",NA,NA,"abilities",NA,"abilities",18
"22","to","FM","TO","to",NA,"to",0,NA,"to",NA,NA,NA,"to",18
"23","the","FM","DT","the",NA,"the",0,NA,"the",NA,NA,NA,"the",18
"24","ſame","FM","JJ","same",NA,"same",0,NA,"same",NA,NA,NA,"same",18
"25","undertaking","FM","NN","undertaking",NA,"undertaking",0,NA,"undertaking",NA,NA,NA,"undertaking",18
"26",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA,",",",",18
"27","and","FM","CC","and",NA,"and",0,NA,"and",NA,NA,NA,"and",18
"28","I","FM","PP","I",NA,"I",0,NA,"I",NA,NA,NA,"I",18
"29","will","FM","MD","will",NA,"will",0,NA,"will",NA,NA,NA,"will",18
"30","venture","FM","VV","venture",NA,"venture",0,NA,"venture",NA,NA,NA,"venture",18
"31","to","FM","TO","to",NA,"to",0,NA,"to",NA,NA,NA,"to",18
"32","offer","FM","VV","offer","offer","offer",0,NA,"offer",NA,NA,NA,"offer",18
"33","the","FM","DT","the",NA,"the",0,NA,"the",NA,NA,NA,"the",18
"34","preſent","FM","JJ","present",NA,"present",0,NA,"present",NA,NA,NA,"present",18
"35","work","FM","NN","work",NA,"work",0,NA,"work",NA,NA,NA,"work",18
"36",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA,",",",",18
"37","as","ADV","IN","as",NA,"as",0,NA,"as",NA,NA,NA,"as",18
"38","the","FM","DT","the",NA,"the",0,NA,"the",NA,NA,NA,"the",18
"39","moft","VFIN.Full.3.Sg.Pres.Ind","NN","moft","moft","moft",1,"moft",NA,NA,NA,NA,NA,18
"40","complete","FM","JJ","complete",NA,"complete",0,NA,"complete",NA,NA,NA,"complete",18
"41","of","FM","IN","of","of","of",0,NA,"of",NA,NA,NA,"of",18
"42","the","FM","DT","the",NA,"the",0,NA,"the",NA,NA,NA,"the",18
"43","kind","FM","NN","kind",NA,"kind",0,NA,"kind",NA,NA,NA,"kind",18
"44","that","PRO.Dem.Subst.-.Nom.Sg.Neut","WDT","that",NA,"that",0,NA,"that",NA,NA,NA,"that",18
"45","has","FM","VHZ","has",NA,"has",0,NA,"has",NA,NA,NA,"has",18
"46","yet","FM","RB","yet",NA,"yet",0,NA,"yet",NA,NA,NA,"yet",18
"47","appeared","FM","VVN","appeared",NA,"appeared",1,"appeared",NA,NA,NA,NA,NA,18
"48","among","FM","IN","among",NA,"among",0,NA,"among",NA,NA,NA,"among",18
"49","us","FM","PP","us",NA,"us",0,NA,"us",NA,NA,NA,"us",18
"50",".","SYM.Pun.Sent","SENT",".",NA,".",1,".",NA,NA,NA,".",".",18
"51","I","FM","PP","I",NA,"I",0,NA,"I",NA,NA,NA,"I",18
"52","am","PART.Deg","VBP","am",NA,"am",0,NA,"am",NA,NA,NA,"am",18
"53","not","ADJD.Pos","RB","not",NA,"not",0,NA,"not",NA,NA,NA,"not",18
"54","inſenſible","N.Reg.Acc.Pl.Masc","JJ","insensible",NA,"insensible",0,NA,"insensible",NA,NA,NA,"insensible",18
"55",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA,",",",",18
"56","however","FM","RB","however",NA,"however",0,NA,"however",NA,NA,NA,"however",18
"57",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA,",",",",18
"58","of","FM","IN","of","of","of",0,NA,"of",NA,NA,NA,"of",18
"59","the","FM","DT","the",NA,"the",0,NA,"the",NA,NA,NA,"the",18
"60","mnattention","FM","NN","mnattention",NA,"mnattention",1,"mnattention",NA,NA,NA,NA,NA,18
"61","of","FM","IN","of","of","of",0,NA,"of",NA,NA,NA,"of",18
"62","the","FM","DT","the",NA,"the",0,NA,"the",NA,NA,NA,"the",18
"63","public","FM","NN","public",NA,"public",0,NA,"public",NA,NA,NA,"public",18
"64","at","FM","IN","at",NA,"at",0,NA,"at",NA,NA,NA,"at",18
"65","this","FM","DT","this",NA,"this",0,NA,"this",NA,NA,NA,"this",18
"66","juncture","FM","NN","juncture",NA,"juncture",0,NA,"juncture",NA,NA,NA,"juncture",18
"67",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA,",",",",18
"68","and","FM","CC","and",NA,"and",0,NA,"and",NA,NA,NA,"and",18
"69","their","FM","PP$","their",NA,"their",0,NA,"their",NA,NA,NA,"their",18
"70","diſ","FM","JJ","dis",NA,"dis",0,NA,"dis",NA,NA,NA,"dis",18
"71","-","SYM.Pun.Hyph","NN","-",NA,"-",1,"-",NA,NA,NA,"-","-",18
"72","inclination","FM","NN","inclination",NA,"inclination",0,NA,"inclination",NA,NA,NA,"inclination",18
"73","either","ADJD.Comp","CC","either",NA,"either",0,NA,"either",NA,NA,NA,"either",18
"74","to","FM","TO","to",NA,"to",0,NA,"to",NA,NA,NA,"to",18
"75","examine","FM","VV","examine",NA,"examine",0,NA,"examine",NA,NA,NA,"examine",18
"76","a","FM","DT","a",NA,"a",0,NA,"a",NA,NA,NA,"a",18
"77","work","FM","NN","work",NA,"work",0,NA,"work",NA,NA,NA,"work",18
"78","of","FM","IN","of","of","of",0,NA,"of",NA,NA,NA,"of",18
"79","labour","FM","NN","labour",NA,"labour",0,NA,"labour",NA,NA,NA,"labour",18
"80",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA,",",",",18
"81","or","FM","CC","or",NA,"or",0,NA,"or",NA,NA,NA,"or",18
"82","to","FM","TO","to",NA,"to",0,NA,"to",NA,NA,NA,"to",18
"83","do","FM","VV","do",NA,"do",0,NA,"do",NA,NA,NA,"do",18
"84","it","FM","PP","it",NA,"it",0,NA,"it",NA,NA,NA,"it",18
"85","juſtice","FM","VV","justice",NA,"justice",0,NA,"justice",NA,NA,NA,"justice",18
"86","when","FM","WRB","when",NA,"when",0,NA,"when",NA,NA,NA,"when",18
"87","examined","FM","VVN","examined",NA,"examined",0,NA,"examined",NA,NA,NA,"examined",18
"88",".","SYM.Pun.Sent","SENT",".",NA,".",1,".",NA,NA,NA,".",".",18
"89","I","FM","PP","I",NA,"I",0,NA,"I",NA,NA,NA,"I",18
"90","know","FM","VVP","know",NA,"know",0,NA,"know",NA,NA,NA,"know",18
