"","tok","RF_PoStag","tree_PoStag","tok_2","f.s","tok_3","oed_check","oed_FALSE","oed_TRUE","oed_tt","oed_NNS","punct","tok.to.edit","pdf.page"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","uliuushilitaeeeeeeee","N.Name.Nom.Sg.*","NN","uliuushilitaeeeeeeee",NA,"uliuushilitaeeeeeeee",1,"uliuushilitaeeeeeeee",NA,NA,NA,NA,NA,258
"3",")","SYM.Paren.Right",")",")",NA,")",1,")",NA,NA,NA,NA,NA,258
"4","A","N.Name.*.*.*","DT","A",NA,"A",0,NA,"A",NA,NA,NA,"A",258
"5","COMPLETE","N.Name.*.*.*","JJ","COMPLETE",NA,"COMPLETE",0,NA,"COMPLETE",NA,NA,NA,"COMPLETE",258
"6","ENGT.ISII","N.Name.*.*.*","NP","ENGT.ISII",NA,"ENGT.ISII",1,"ENGT.ISII",NA,NA,NA,NA,NA,258
"7","GR","N.Name.*.*.*","NP","GR",NA,"GR",1,"GR",NA,NA,NA,NA,NA,258
"8","AM","N.Name.*.*.*","NP","AM",NA,"AM",0,NA,"AM",NA,NA,NA,"AM",258
"9","MAR","N.Name.Nom.Sg.*","NN","MAR",NA,"MAR",0,NA,"MAR",NA,NA,NA,"MAR",258
"10","On","FM","IN","On",NA,"On",0,NA,"On",NA,NA,NA,"On",258
"11","a","FM","DT","a",NA,"a",0,NA,"a",NA,NA,NA,"a",258
"12","NEW","N.Name.*.*.*","JJ","NEW",NA,"NEW",0,NA,"NEW",NA,NA,NA,"NEW",258
"13","PLAN","N.Reg.Nom.Sg.Masc","NN","PLAN",NA,"PLAN",0,NA,"PLAN",NA,NA,NA,"PLAN",258
"14",".","SYM.Pun.Sent","SENT",".",NA,".",1,".",NA,NA,NA,".",".",258
"15","For","N.Name.*.*.*","IN","For",NA,"For",0,NA,"For",NA,NA,NA,"For",258
"16","the","N.Name.*.*.*","DT","the",NA,"the",0,NA,"the",NA,NA,NA,"the",258
"17","USE","N.Name.Nom.Sg.*","NN","USE",NA,"USE",0,NA,"USE",NA,NA,NA,"USE",258
"18",".","SYM.Pun.Sent","SENT",".",NA,".",1,".",NA,NA,NA,".",".",258
"19","Of","N.Name.*.*.*","IN","Of","Of","Of",0,NA,"Of",NA,NA,NA,"Of",258
"20","FOREIGNERS","N.Name.Nom.Sg.*","NNS","FOREIGNERS",NA,"FOREIGNERS",0,NA,"FOREIGNERS",NA,NA,NA,"FOREIGNERS",258
"21",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA,",",",",258
"22","A","SYM.Other.XY","DT","A",NA,"A",0,NA,"A",NA,NA,NA,"A",258
"23","N","SYM.Other.XY","NP","N",NA,"N",0,NA,"N",NA,NA,NA,"N",258
"24","D","SYM.Other.XY","NP","D",NA,"D",0,NA,"D",NA,NA,NA,"D",258
"25","Such","N.Name.Nom.Sg.Masc","JJ","Such",NA,"Such",0,NA,"Such",NA,NA,NA,"Such",258
"26","NaTivrs","N.Name.Nom.Sg.Masc","NN","NaTivrs",NA,"NaTivrs",1,"NaTivrs",NA,NA,NA,NA,NA,258
"27","as","ADV","RB","as",NA,"as",0,NA,"as",NA,NA,NA,"as",258
"28","would","ADJD.Pos","MD","would",NA,"would",0,NA,"would",NA,NA,NA,"would",258
"29","acquire","FM","VV","acquire",NA,"acquire",0,NA,"acquire",NA,NA,NA,"acquire",258
"30","a","FM","DT","a",NA,"a",0,NA,"a",NA,NA,NA,"a",258
"31","Scientifical","FM","NP","Scientifical","Scientifical","Scientifical",0,NA,"Scientifical",NA,NA,NA,"Scientifical",258
"32","Knowledge","FM","NP","Knowledge",NA,"Knowledge",0,NA,"Knowledge",NA,NA,NA,"Knowledge",258
"33","of","FM","IN","of","of","of",0,NA,"of",NA,NA,NA,"of",258
"34","their","FM","PP$","their",NA,"their",0,NA,"their",NA,NA,NA,"their",258
"35","own","FM","JJ","own",NA,"own",0,NA,"own",NA,NA,NA,"own",258
"36","Tongue","FM","NP","Tongue",NA,"Tongue",0,NA,"Tongue",NA,NA,NA,"Tongue",258
"37",".","SYM.Pun.Sent","SENT",".",NA,".",1,".",NA,NA,NA,".",".",258
"38","In","FM","IN","In",NA,"In",0,NA,"In",NA,NA,NA,"In",258
"39","T","N.Name.*.*.*","NN","T",NA,"T",0,NA,"T",NA,NA,NA,"T",258
"40","WO","N.Name.*.*.*","MD","WO",NA,"WO",0,NA,"WO",NA,NA,NA,"WO",258
"41","PARTS","N.Name.Nom.Sg.*","NNS","PARTS",NA,"PARTS",0,NA,"PARTS",NA,NA,NA,"PARTS",258
"42",".","SYM.Pun.Sent","SENT",".",NA,".",1,".",NA,NA,NA,".",".",258
"43","CONTAfNINc","N.Name.Nom.Sg.*","NP","CONTAfNINc","CONTAfNINc","CONTAfNINc",1,"CONTAfNINc",NA,NA,NA,NA,NA,258
"44",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA,",",",",258
"45","I","FM","NP","I",NA,"I",0,NA,"I",NA,NA,NA,"I",258
"46",".","SYM.Pun.Sent","SENT",".",NA,".",1,".",NA,NA,NA,".",".",258
"47","An","APPR.An","DT","An",NA,"An",0,NA,"An",NA,NA,NA,"An",258
"48","exact","FM","JJ","exact",NA,"exact",0,NA,"exact",NA,NA,NA,"exact",258
"49","Analyſis","FM","NP","Analysis",NA,"Analysis",0,NA,"Analysis",NA,NA,NA,"Analysis",258
"50","and","FM","CC","and",NA,"and",0,NA,"and",NA,NA,NA,"and",258
"51","proper","ADJD.Pos","JJ","proper",NA,"proper",0,NA,"proper",NA,NA,NA,"proper",258
"52","Diviſion","N.Name.*.*.*","NN","Division",NA,"Division",0,NA,"Division",NA,NA,NA,"Division",258
"53","of","N.Name.*.*.*","IN","of","of","of",0,NA,"of",NA,NA,NA,"of",258
"54","Sound","N.Name.*.*.*","NP","Sound",NA,"Sound",0,NA,"Sound",NA,NA,NA,"Sound",258
"55",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA,",",",",258
"56","ſo","FM","NN","so",NA,"so",0,NA,"so",NA,NA,NA,"so",258
"57","far","FM","RB","far","far","far",0,NA,"far",NA,NA,NA,"far",258
"58","as","ADV","IN","as",NA,"as",0,NA,"as",NA,NA,NA,"as",258
"59","it","FM","PP","it",NA,"it",0,NA,"it",NA,NA,NA,"it",258
"60","regards","FM","VVZ","regards",NA,"regards",0,NA,"regards",NA,NA,NA,"regards",258
"61","Pronunciation","FM","NN","Pronunciation",NA,"Pronunciation",0,NA,"Pronunciation",NA,NA,NA,"Pronunciation",258
"62",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA,",",",",258
"63","in","APPR.In","IN","in",NA,"in",0,NA,"in",NA,NA,NA,"in",258
"64","all","FM","PDT","all",NA,"all",0,NA,"all",NA,NA,NA,"all",258
"65","its","FM","PP$","its",NA,"its",0,NA,"its",NA,NA,NA,"its",258
"66","Variety","FM","NN","Variety",NA,"Variety",0,NA,"Variety",NA,NA,NA,"Variety",258
"67",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA,",",",",258
"68","according","FM","VVG","according",NA,"according",0,NA,"according",NA,NA,NA,"according",258
"69","to","FM","TO","to",NA,"to",0,NA,"to",NA,NA,NA,"to",258
"70","the","FM","DT","the",NA,"the",0,NA,"the",NA,NA,NA,"the",258
"71","true","FM","JJ","true",NA,"true",0,NA,"true",NA,NA,NA,"true",258
"72","Genius","N.Reg.Nom.Sg.Masc","NN","Genius",NA,"Genius",0,NA,"Genius",NA,NA,NA,"Genius",258
"73","and","FM","CC","and",NA,"and",0,NA,"and",NA,NA,NA,"and",258
"74","Idiom","N.Reg.Nom.Sg.Neut","NN","Idiom",NA,"Idiom",0,NA,"Idiom",NA,NA,NA,"Idiom",258
"75","of","FM","IN","of","of","of",0,NA,"of",NA,NA,NA,"of",258
"76","the","FM","DT","the",NA,"the",0,NA,"the",NA,NA,NA,"the",258
"77","Exciisn","FM","NP","Exciisn",NA,"Exciisn",1,"Exciisn",NA,NA,NA,NA,NA,258
"78","Language","FM","NP","Language",NA,"Language",0,NA,"Language",NA,NA,NA,"Language",258
"79",".","SYM.Pun.Sent","SENT",".",NA,".",1,".",NA,NA,NA,".",".",258
"80","II","CARD","NP","II",NA,"II",1,"II",NA,NA,NA,NA,NA,258
"81",".","SYM.Pun.Sent","SENT",".",NA,".",1,".",NA,NA,NA,".",".",258
"82","The","N.Name.*.*.*","DT","The",NA,"The",0,NA,"The",NA,NA,NA,"The",258
"83","eight","VFIN.Full.3.Sg.Pres.Ind","CD","eight",NA,"eight",0,NA,"eight",NA,NA,NA,"eight",258
"84","Parts","N.Reg.Nom.Pl.Masc","NNS","Parts",NA,"Parts",0,NA,"Parts",NA,NA,NA,"Parts",258
"85","of","N.Name.*.*.*","IN","of","of","of",0,NA,"of",NA,NA,NA,"of",258
"86","Speech","N.Name.Nom.Sg.*","NN","Speech",NA,"Speech",0,NA,"Speech",NA,NA,NA,"Speech",258
"87","diſtinetly","N.Name.*.*.*","RB","distinetly",NA,"distinetly",1,"distinetly",NA,NA,"distinetly",NA,"distinetly",258
"88","conſidered","N.Name.*.*.*","JJ","considered",NA,"considered",0,NA,"considered",NA,NA,NA,"considered",258
"89",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA,",",",",258
"90","with","N.Name.*.*.*","IN","with",NA,"with",0,NA,"with",NA,NA,NA,"with",258
"91","the","N.Name.*.*.*","DT","the",NA,"the",0,NA,"the",NA,NA,NA,"the",258
"92","Declenſion","N.Name.*.*.*","NP","Declension",NA,"Declension",0,NA,"Declension",NA,NA,NA,"Declension",258
"93","of","N.Name.*.*.*","IN","of","of","of",0,NA,"of",NA,NA,NA,"of",258
"94","Articles","N.Name.*.*.*","NPS","Articles",NA,"Articles",0,NA,"Articles",NA,NA,NA,"Articles",258
"95",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA,",",",",258
"96","]","SYM.Paren.Right","SYM","]",NA,"]",1,"]",NA,NA,NA,NA,NA,258
"97","Nouns","FM","NNS","Nouns",NA,"Nouns",0,NA,"Nouns",NA,NA,NA,"Nouns",258
"98",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA,",",",",258
"99","Pronouns","FM","NNS","Pronouns",NA,"Pronouns",1,"Pronouns",NA,NA,"Pronouns",NA,"Pronouns",258
"100",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA,",",",",258
"101","&","FM","CC","&",NA,"&",0,NA,"&",NA,NA,NA,"&",258
"102","c","FM","LS","c",NA,"c",0,NA,"c",NA,NA,NA,"c",258
"103",".","SYM.Pun.Sent","SENT",".",NA,".",1,".",NA,NA,NA,".",".",258
"104","and","FM","CC","and",NA,"and",0,NA,"and",NA,NA,NA,"and",258
"105","the","FM","DT","the",NA,"the",0,NA,"the",NA,NA,NA,"the",258
"106","Conjugation","FM","NN","Conjugation",NA,"Conjugation",0,NA,"Conjugation",NA,NA,NA,"Conjugation",258
"107","of","FM","IN","of","of","of",0,NA,"of",NA,NA,NA,"of",258
