"","tok","RF_PoStag","tree_PoStag","tok_2","f.s","tok_3","oed_check","oed_FALSE","oed_TRUE","oed_tt","oed_NNS"
"46","countrymen","FM","NNS","countrymen",NA,"countrymen",1,"countrymen",NA,NA,"countrymen"
"47","have","VFIN.Aux.1.Sg.Pres.Ind","VHP","have",NA,"have",0,NA,"have",NA,NA
"48","cultivat","FM","NNS","cultivat",NA,"cultivat",1,"cultivat",NA,NA,"cultivat"
"49","*","SYM.Other.Aster","SYM","*",NA,"*",0,NA,"*",NA,NA
"50","₰","FM","JJ","₰",NA,"₰",1,"₰",NA,NA,NA
"51","◻","FM","NN","◻",NA,"◻",1,"◻",NA,NA,NA
"52","8","CARD","CD","8",NA,"8",1,"8",NA,NA,NA
"53","L","N.Name.*.*.*","NP","L",NA,"L",0,NA,"L",NA,NA
"54","K.A","N.Name.*.*.*","NP","K.A",NA,"K.A",1,"K.A",NA,NA,NA
"55","R","N.Name.*.*.*","NP","R",NA,"R",0,NA,"R",NA,NA
"56","ed","FM","NN","ed",NA,"ed",1,"ed",NA,NA,NA
"57",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA
"58","during","FM","IN","during",NA,"during",0,NA,"during",NA,NA
"59","this","FM","DT","this",NA,"this",0,NA,"this",NA,NA
"60","laft","VPP.Full.Psp","NN","laft","laft","laft",1,"laft",NA,NA,NA
"61","century","FM","NN","century",NA,"century",0,NA,"century",NA,NA
"62",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA
"63","with","FM","IN","with",NA,"with",0,NA,"with",NA,NA
"64","diſtiguiſhed","FM","JJ","distiguished",NA,"distiguished",1,"distiguished",NA,NA,NA
"65","fucceſs","FM","NNS","fuccess","fuccess","fuccess",1,"fuccess",NA,NA,"fuccess"
"66",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA
"67","their","FM","PP$","their",NA,"their",0,NA,"their",NA,NA
"68","own","FM","JJ","own",NA,"own",0,NA,"own",NA,NA
"69","language","FM","NN","language",NA,"language",0,NA,"language",NA,NA
"70","ſeems","FM","NNS","seems",NA,"seems",0,NA,"seems",NA,NA
"71","to","FM","TO","to",NA,"to",0,NA,"to",NA,NA
"72","be","FM","VB","be",NA,"be",0,NA,"be",NA,NA
"73","that","PRO.Dem.Subst.-.Acc.Sg.Neut","IN/that","that",NA,"that",0,NA,"that",NA,NA
"74","wheremn","FM","RB","wheremn",NA,"wheremn",1,"wheremn",NA,NA,"wheremn"
"75","their","FM","PP$","their",NA,"their",0,NA,"their",NA,NA
"76","efforts","FM","NNS","efforts","efforts","efforts",0,NA,"efforts",NA,NA
"77","have","VFIN.Aux.1.Sg.Pres.Ind","VHP","have",NA,"have",0,NA,"have",NA,NA
"78","been","FM","VBN","been",NA,"been",1,"been",NA,NA,"been"
"79","moſt","FM","JJ","most",NA,"most",0,NA,"most",NA,NA
"80","weak","FM","JJ","weak",NA,"weak",0,NA,"weak",NA,NA
"81","or","FM","CC","or",NA,"or",0,NA,"or",NA,NA
"82","unfucceſsful","FM","JJ","unfuccessful","unfuccessful","unfuccessful",1,"unfuccessful",NA,NA,NA
"83",".","SYM.Pun.Sent","SENT",".",NA,".",1,".",NA,NA,NA
"84","They","FM","PP","They",NA,"They",0,NA,"They",NA,NA
"85","ſtand","FM","VVP","stand",NA,"stand",0,NA,"stand",NA,NA
"86","juſtly","FM","RB","justly",NA,"justly",0,NA,"justly",NA,NA
"87","foremoſt","N.Reg.Nom.Sg.Fem","NN","foremost","foremost","foremost",0,NA,"foremost",NA,NA
"88","in","APPR.In","IN","in",NA,"in",0,NA,"in",NA,NA
"89","other","N.Name.*.*.*","JJ","other",NA,"other",0,NA,"other",NA,NA
"90","branches","ADJA.Pos.Acc.Sg.Neut","NNS","branches",NA,"branches",0,NA,"branches",NA,NA
"91","of","FM","IN","of","of","of",0,NA,"of",NA,NA
"92","Philolophy","FM","NP","Philolophy",NA,"Philolophy",1,"Philolophy",NA,NA,NA
"93",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA
"94","and","FM","CC","and",NA,"and",0,NA,"and",NA,NA
"95","even","FM","RB","even",NA,"even",0,NA,"even",NA,NA
"96","their","FM","PP$","their",NA,"their",0,NA,"their",NA,NA
"97","language","FM","NN","language",NA,"language",0,NA,"language",NA,NA
"98","is","FM","VBZ","is",NA,"is",0,NA,"is",NA,NA
"99","now","FM","RB","now",NA,"now",0,NA,"now",NA,NA
"100","conſidered","FM","JJ","considered",NA,"considered",0,NA,"considered",NA,NA
"101","by","FM","IN","by",NA,"by",0,NA,"by",NA,NA
"102","Foreigners","N.Name.Gen.Sg.*","NNS","Foreigners",NA,"Foreigners",0,NA,"Foreigners",NA,NA
"103","as","ADV","IN","as",NA,"as",0,NA,"as",NA,NA
"104","abſolutely","CARD","JJ","absolutely",NA,"absolutely",0,NA,"absolutely",NA,NA
"105","requiſite","N.Reg.Nom.Pl.Neut","NN","requisite",NA,"requisite",0,NA,"requisite",NA,NA
"106","to","FM","TO","to",NA,"to",0,NA,"to",NA,NA
"107","complete","FM","VV","complete",NA,"complete",0,NA,"complete",NA,NA
"108","a","FM","DT","a",NA,"a",0,NA,"a",NA,NA
"109","learned","FM","VVN","learned",NA,"learned",0,NA,"learned",NA,NA
"110","education","FM","NN","education",NA,"education",0,NA,"education",NA,NA
"111",";","SYM.Pun.Sent",":",";",NA,";",1,";",NA,NA,NA
"112","yet","FM","RB","yet",NA,"yet",0,NA,"yet",NA,NA
"113","the","FM","DT","the",NA,"the",0,NA,"the",NA,NA
"114","Englaſb","FM","NN","Englasb",NA,"Englasb",1,"Englasb",NA,NA,NA
"115","themſelves","FM","NNS","themselves",NA,"themselves",0,NA,"themselves",NA,NA
"116",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA
"117","either","ADJD.Comp","CC","either",NA,"either",0,NA,"either",NA,NA
"118","ignorant","ADJD.Pos","JJ","ignorant",NA,"ignorant",0,NA,"ignorant",NA,NA
"119","or","FM","CC","or",NA,"or",0,NA,"or",NA,NA
"120","unmindful","FM","JJ","unmindful","unmindful","unmindful",0,NA,"unmindful",NA,NA
"121","of","FM","IN","of","of","of",0,NA,"of",NA,NA
"122","the","FM","DT","the",NA,"the",0,NA,"the",NA,NA
"123","treafure","FM","NN","treafure","treafure","treafure",1,"treafure",NA,NA,NA
"124","they","FM","PP","they",NA,"they",0,NA,"they",NA,NA
"125","pofleſs","FM","NNS","pofless","pofless","pofless",1,"pofless",NA,NA,"pofless"
"126",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA
"127","have","VFIN.Aux.1.Sg.Pres.Ind","VHP","have",NA,"have",0,NA,"have",NA,NA
"128","carelelly","FM","RB","carelelly",NA,"carelelly",1,"carelelly",NA,NA,"carelelly"
"129","ſuffered","FM","VVN","suffered","suffered","suffered",0,NA,"suffered",NA,NA
"130","it","FM","PP","it",NA,"it",0,NA,"it",NA,NA
"131","to","FM","TO","to",NA,"to",0,NA,"to",NA,NA
"132","be","FM","VB","be",NA,"be",0,NA,"be",NA,NA
"133","adulterated","FM","VVN","adulterated",NA,"adulterated",0,NA,"adulterated",NA,NA
"134","by","FM","IN","by",NA,"by",0,NA,"by",NA,NA
"135","ignorance","FM","NN","ignorance",NA,"ignorance",0,NA,"ignorance",NA,NA
"136",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA
"137","or","FM","CC","or",NA,"or",0,NA,"or",NA,NA
"138","affectation","FM","NN","affectation","affectation","affectation",0,NA,"affectation",NA,NA
"139",".","SYM.Pun.Sent","SENT",".",NA,".",1,".",NA,NA,NA
"140","Like","N.Name.Nom.Sg.Masc","IN","Like",NA,"Like",0,NA,"Like",NA,NA
"141","Kings","N.Name.Gen.Sg.Masc","NP","Kings",NA,"Kings",0,NA,"Kings",NA,NA
"142","panting","FM","VVG","panting",NA,"panting",0,NA,"panting",NA,NA
"143","after","FM","IN","after","after","after",0,NA,"after",NA,NA
"144","new","FM","JJ","new",NA,"new",0,NA,"new",NA,NA
"145","conqueſts","FM","NNS","conquests",NA,"conquests",1,"conquests",NA,NA,"conquests"
"146",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA
"147","they","FM","PP","they",NA,"they",0,NA,"they",NA,NA
"148","have","VFIN.Aux.1.Sg.Pres.Ind","VHP","have",NA,"have",0,NA,"have",NA,NA
"149","indolently","FM","RB","indolently",NA,"indolently",0,NA,"indolently",NA,NA
"150","permitted","FM","VVN","permitted",NA,"permitted",0,NA,"permitted",NA,NA
"151","their","FM","PP$","their",NA,"their",0,NA,"their",NA,NA
"152","natural","FM","JJ","natural",NA,"natural",0,NA,"natural",NA,NA
"153","dominions","FM","NNS","dominions",NA,"dominions",0,NA,"dominions",NA,NA
"154","to","FM","TO","to",NA,"to",0,NA,"to",NA,NA
"155","fink","FM","VV","fink","fink","fink",0,NA,"fink",NA,NA
"156","into","N.Name.*.*.*","IN","into",NA,"into",0,NA,"into",NA,NA
"157","deſolation","N.Name.*.*.*","NN","desolation",NA,"desolation",0,NA,"desolation",NA,NA
"158",".","SYM.Pun.Sent","SENT",".",NA,".",1,".",NA,NA,NA
"159","It","N.Name.*.*.*","PP","It",NA,"It",0,NA,"It",NA,NA
"160","muſt","N.Name.*.*.*","NN","must",NA,"must",0,NA,"must",NA,NA
"161","be","FM","VB","be",NA,"be",0,NA,"be",NA,NA
"162","owned","FM","VVN","owned",NA,"owned",0,NA,"owned",NA,NA
"163",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA
"164","indeed","FM","RB","indeed",NA,"indeed",0,NA,"indeed",NA,NA
"165",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA
"166","that","PRO.Dem.Subst.-.Nom.Sg.Neut","IN/that","that",NA,"that",0,NA,"that",NA,NA
"167","many","FM","JJ","many",NA,"many",0,NA,"many",NA,NA
"168","writers","FM","NNS","writers",NA,"writers",1,"writers",NA,NA,"writers"
"169","have","VFIN.Aux.1.Sg.Pres.Ind","VHP","have",NA,"have",0,NA,"have",NA,NA
"170","been","FM","VBN","been",NA,"been",1,"been",NA,NA,"been"
"171","of","FM","IN","of","of","of",0,NA,"of",NA,NA
"172","late","FM","JJ","late",NA,"late",0,NA,"late",NA,NA
"173","induſtrioufly","FM","NN","industrioufly","industrioufly","industrioufly",1,"industrioufly",NA,NA,NA
"174","employed","FM","VVN","employed",NA,"employed",0,NA,"employed",NA,NA
"175","in","APPR.In","IN","in",NA,"in",0,NA,"in",NA,NA
"176","drawing","FM","VVG","drawing",NA,"drawing",0,NA,"drawing",NA,NA
"177","up","FM","RP","up",NA,"up",0,NA,"up",NA,NA
"178","Grammatical","FM","JJ","Grammatical",NA,"Grammatical",0,NA,"Grammatical",NA,NA
"179","Eflays","FM","NNS","Eflays","Eflays","Eflays",1,"Eflays",NA,NA,"Eflays"
"180","on","FM","IN","on",NA,"on",0,NA,"on",NA,NA
"181","the","FM","DT","the",NA,"the",0,NA,"the",NA,NA
"182","Engliſb","FM","NN","Englisb",NA,"Englisb",1,"Englisb",NA,NA,NA
"183","tongue","FM","NN","tongue",NA,"tongue",0,NA,"tongue",NA,NA
"184",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA
"185","incited","FM","VVD","incited",NA,"incited",1,"incited",NA,NA,"incited"
"186",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA
"187","perhaps","FM","RB","perhaps",NA,"perhaps",0,NA,"perhaps",NA,NA
"188",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA
"189","by","FM","IN","by",NA,"by",0,NA,"by",NA,NA
"190","the","FM","DT","the",NA,"the",0,NA,"the",NA,NA
"191","appaA","FM","NN","appaA",NA,"appaA",1,"appaA",NA,NA,NA
"192","9","CARD","CD","9",NA,"9",1,"9",NA,NA,NA
"193","rent","FM","NN","rent",NA,"rent",0,NA,"rent",NA,NA
