"","tok","RF_PoStag","tree_PoStag","tok_2","f.s","tok_3","oed_check","oed_FALSE","oed_TRUE","oed_tt","oed_NNS"
"1","M","SYM.Other.XY","NN","M",NA,"M",0,NA,"M",NA,NA
"2","*","SYM.Other.XY","SYM","*",NA,"*",0,NA,"*",NA,NA
"3","%","N.Reg.Nom.Sg.Neut","NN","%",NA,"%",1,"%",NA,NA,NA
"4","A","N.Name.Nom.Sg.*","DT","A",NA,"A",0,NA,"A",NA,NA
"5",".","SYM.Pun.Sent","SENT",".",NA,".",1,".",NA,NA,NA
"6","4000","CARD","CD","4000",NA,"4000",1,"4000",NA,NA,NA
"7","440","CARD","CD","440",NA,"440",1,"440",NA,NA,NA
"8","3","CARD","CD","3",NA,"3",0,NA,"3",NA,NA
"9","Le","N.Name.*.*.*","NP","Le",NA,"Le",1,"Le",NA,NA,NA
"10","kn","N.Name.Nom.Sg.*","NN","kn",NA,"kn",1,"kn",NA,NA,NA
"11","P","N.Name.*.*.*","NN","P",NA,"P",0,NA,"P",NA,NA
"12","4","CARD","CD","4",NA,"4",0,NA,"4",NA,NA
"13","6c","CARD","NN","6c",NA,"6c",1,"6c",NA,NA,NA
"14","§","SYM.Other.XY","SYM","§",NA,"§",1,"§",NA,NA,NA
"15","0","CARD","CD","0",NA,"0",0,NA,"0",NA,NA
"16","8","CARD","CD","8",NA,"8",1,"8",NA,NA,NA
"17","☚","FM","NN","☚",NA,"☚",1,"☚",NA,NA,NA
"18","coce","FM","NN","coce",NA,"coce",1,"coce",NA,NA,NA
"19","8","CARD","CD","8",NA,"8",1,"8",NA,NA,NA
"20","RR","N.Reg.Nom.*.*","NP","RR",NA,"RR",1,"RR",NA,NA,NA
"21","₰","CARD","NN","₰",NA,"₰",1,"₰",NA,NA,NA
"22","60","CARD","CD","60",NA,"60",1,"60",NA,NA,NA
"23","2","CARD","CD","2",NA,"2",0,NA,"2",NA,NA
"24","K","SYM.Other.XY","NN","K",NA,"K",0,NA,"K",NA,NA
"25","A","SYM.Other.XY","DT","A",NA,"A",0,NA,"A",NA,NA
"26","2n","N.Reg.Nom.Pl.Fem","JJ","2n",NA,"2n",1,"2n",NA,NA,NA
"27","RE","N.Reg.Nom.Sg.Neut","NN","RE",NA,"RE",0,NA,"RE",NA,NA
"28",".","SYM.Pun.Sent","SENT",".",NA,".",1,".",NA,NA,NA
"29","TH","N.Name.Nom.Sg.Neut","NN","TH",NA,"TH",1,"TH",NA,NA,NA
"30","B","SYM.Other.XY","NP","B",NA,"B",0,NA,"B",NA,NA
"31","F","SYM.Other.XY","NP","F",NA,"F",0,NA,"F",NA,NA
"32","△","CARD","NP","△",NA,"△",1,"△",NA,NA,NA
"33","C","SYM.Other.XY","NP","C",NA,"C",0,NA,"C",NA,NA
"34","E","SYM.Other.XY","NP","E",NA,"E",0,NA,"E",NA,NA
"35",".","SYM.Pun.Sent","SENT",".",NA,".",1,".",NA,NA,NA
"36","PF","N.Name.Nom.Sg.*","NP","PF",NA,"PF",1,"PF",NA,NA,NA
"37","all","FM","DT","all",NA,"all",0,NA,"all",NA,NA
"38","parts","FM","NNS","parts",NA,"parts",0,NA,"parts",NA,NA
"39","of","FM","IN","of","of","of",0,NA,"of",NA,NA
"40","learning","FM","VVG","learning",NA,"learning",0,NA,"learning",NA,NA
"41","which","VFIN.Full.3.Sg.Past.Ind","WDT","which",NA,"which",0,NA,"which",NA,NA
"42","⸗","N.Name.*.*.*","NN","⸗",NA,"⸗",1,"⸗",NA,NA,NA
"43",NA,"N.Name.Nom.Sg.*","TO",NA,NA,NA,0,NA,NA,NA,NA
"44","N","SYM.Other.XY","NP","N",NA,"N",0,NA,"N",NA,NA
"45","our","FM","PP$","our",NA,"our",0,NA,"our",NA,NA
