"","tok","RF_PoStag","tree_PoStag","tok_2","f.s","tok_3","oed_check","oed_FALSE","oed_TRUE","oed_tt","oed_NNS","punct","tok.to.edit","pdf.page"
"1","PREFA","N.Name.*.*.*","NP","PREFA",NA,"PREFA",1,"PREFA",NA,NA,NA,NA,NA,11
"2","CE","N.Name.Nom.Sg.Neut","NP","CE",NA,"CE",0,NA,"CE",NA,NA,NA,"CE",11
"3",".","SYM.Pun.Sent","SENT",".",NA,".",1,".",NA,NA,NA,".",".",11
"4","XIII","CARD","NP","XIII",NA,"XIII",1,"XIII",NA,NA,NA,NA,NA,11
"5","diſcoveries","N.Reg.Acc.Pl.Masc","NNS","discoveries",NA,"discoveries",0,NA,"discoveries",NA,NA,NA,"discoveries",11
"6",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA,",",",",11
"7","yet","FM","RB","yet",NA,"yet",0,NA,"yet",NA,NA,NA,"yet",11
"8","if","FM","IN","if","if","if",0,NA,"if",NA,NA,NA,"if",11
"9","difappointed","FM","JJ","difappointed","difappointed","difappointed",1,"difappointed",NA,NA,NA,NA,NA,11
"10",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA,",",",",11
"11","ready","ADJD.Pos","JJ","ready",NA,"ready",0,NA,"ready",NA,NA,NA,"ready",11
"12","to","FM","TO","to",NA,"to",0,NA,"to",NA,NA,NA,"to",11
"13","acknowledge","FM","VV","acknowledge",NA,"acknowledge",0,NA,"acknowledge",NA,NA,NA,"acknowledge",11
"14","my","FM","PP$","my",NA,"my",0,NA,"my",NA,NA,NA,"my",11
"15","miſtake","N.Reg.Acc.Sg.Fem","NN","mistake",NA,"mistake",0,NA,"mistake",NA,NA,NA,"mistake",11
"16",".","SYM.Pun.Sent","SENT",".",NA,".",1,".",NA,NA,NA,".",".",11
"17","As","FM","IN","As",NA,"As",0,NA,"As",NA,NA,NA,"As",11
"18","I","FM","PP","I",NA,"I",0,NA,"I",NA,NA,NA,"I",11
"19","have","VFIN.Aux.1.Sg.Pres.Ind","VHP","have",NA,"have",0,NA,"have",NA,NA,NA,"have",11
"20","been","FM","VBN","been",NA,"been",1,"been",NA,NA,"been",NA,"been",11
"21","thus","FM","RB","thus",NA,"thus",0,NA,"thus",NA,NA,NA,"thus",11
"22","ſolicitous","FM","JJ","solicitous",NA,"solicitous",0,NA,"solicitous",NA,NA,NA,"solicitous",11
"23","to","FM","TO","to",NA,"to",0,NA,"to",NA,NA,NA,"to",11
"24","add","FM","VV","add",NA,"add",0,NA,"add",NA,NA,NA,"add",11
"25","to","FM","TO","to",NA,"to",0,NA,"to",NA,NA,NA,"to",11
"26","the","FM","DT","the",NA,"the",0,NA,"the",NA,NA,NA,"the",11
"27","grammatical","FM","JJ","grammatical",NA,"grammatical",0,NA,"grammatical",NA,NA,NA,"grammatical",11
"28","ſtore","FM","NN","store",NA,"store",0,NA,"store",NA,NA,NA,"store",11
"29",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA,",",",",11
"30","by","FM","IN","by",NA,"by",0,NA,"by",NA,NA,NA,"by",11
"31","my","FM","PP$","my",NA,"my",0,NA,"my",NA,NA,NA,"my",11
"32","own","FM","JJ","own",NA,"own",0,NA,"own",NA,NA,NA,"own",11
"33","labours","FM","NNS","labours",NA,"labours",1,"labours",NA,NA,"labours",NA,"labours",11
"34",":","SYM.Pun.Colon",":",":",NA,":",1,":",NA,NA,NA,":",":",11
"35","equal","FM","JJ","equal",NA,"equal",0,NA,"equal",NA,NA,NA,"equal",11
"36","pains","FM","NNS","pains",NA,"pains",0,NA,"pains",NA,NA,NA,"pains",11
"37","have","VFIN.Aux.2.Sg.Pres.Ind","VHP","have",NA,"have",0,NA,"have",NA,NA,NA,"have",11
"38","been","FM","VBN","been",NA,"been",1,"been",NA,NA,"been",NA,"been",11
"39","uſed","FM","VVN","used",NA,"used",0,NA,"used",NA,NA,NA,"used",11
"40","to","FM","TO","to",NA,"to",0,NA,"to",NA,NA,NA,"to",11
"41","retrench","FM","VV","retrench",NA,"retrench",0,NA,"retrench",NA,NA,NA,"retrench",11
"42","the","FM","DT","the",NA,"the",0,NA,"the",NA,NA,NA,"the",11
"43","former","FM","JJ","former","former","former",0,NA,"former",NA,NA,NA,"former",11
"44","ſuperfluity","FM","NN","superfluity","superfluity","superfluity",0,NA,"superfluity",NA,NA,NA,"superfluity",11
"45","of","FM","IN","of","of","of",0,NA,"of",NA,NA,NA,"of",11
"46","others","FM","NNS","others",NA,"others",0,NA,"others",NA,NA,NA,"others",11
"47",";","SYM.Pun.Sent",":",";",NA,";",1,";",NA,NA,NA,";",";",11
"48","a","FM","DT","a",NA,"a",0,NA,"a",NA,NA,NA,"a",11
"49","work","FM","NN","work",NA,"work",0,NA,"work",NA,NA,NA,"work",11
"50","of","FM","IN","of","of","of",0,NA,"of",NA,NA,NA,"of",11
"51","this","FM","DT","this",NA,"this",0,NA,"this",NA,NA,NA,"this",11
"52","kind","FM","NN","kind",NA,"kind",0,NA,"kind",NA,NA,NA,"kind",11
"53","ſhould","FM","NN","should",NA,"should",0,NA,"should",NA,NA,NA,"should",11
"54","abound","FM","VVP","abound",NA,"abound",0,NA,"abound",NA,NA,NA,"abound",11
"55","with","FM","IN","with",NA,"with",0,NA,"with",NA,NA,NA,"with",11
"56","all","FM","PDT","all",NA,"all",0,NA,"all",NA,NA,NA,"all",11
"57","the","FM","DT","the",NA,"the",0,NA,"the",NA,NA,NA,"the",11
"58","rules","FM","NNS","rules",NA,"rules",0,NA,"rules",NA,NA,NA,"rules",11
"59","neceſ","FM","NN","neces",NA,"neces",1,"neces",NA,NA,NA,NA,NA,11
"60",".","SYM.Pun.Sent","SENT",".",NA,".",1,".",NA,NA,NA,".",".",11
"61","ſary","FM","JJ","sary",NA,"sary",1,"sary",NA,NA,NA,NA,NA,11
"62","to","FM","TO","to",NA,"to",0,NA,"to",NA,NA,NA,"to",11
"63","inſtruct","FM","VV","instruct",NA,"instruct",0,NA,"instruct",NA,NA,NA,"instruct",11
"64",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA,",",",",11
"65","but","CONJ.Coord.-","CC","but",NA,"but",0,NA,"but",NA,NA,NA,"but",11
"66","not","ADJD.Pos","RB","not",NA,"not",0,NA,"not",NA,NA,NA,"not",11
"67","to","FM","TO","to",NA,"to",0,NA,"to",NA,NA,NA,"to",11
"68","embarrafs","FM","NNS","embarrafs","embarrafs","embarrafs",1,"embarrafs",NA,NA,"embarrafs",NA,"embarrafs",11
"69",":","SYM.Pun.Colon",":",":",NA,":",1,":",NA,NA,NA,":",":",11
