"","tok","RF_PoStag","tree_PoStag","tok_2","f.s","tok_3","oed_check","oed_FALSE","oed_TRUE","oed_tt","oed_NNS","punct","tok.to.edit","pdf.page"
"1","PREFACE","N.Name.Nom.Sg.Neut","NN","PREFACE",NA,"PREFACE",0,NA,"PREFACE",NA,NA,NA,"PREFACE",17
"2",".","SYM.Pun.Sent","SENT",".",NA,".",1,".",NA,NA,NA,".",".",17
"3","XIX","CARD","NP","XIX",NA,"XIX",1,"XIX",NA,NA,NA,NA,NA,17
"4","is","FM","VBZ","is",NA,"is",0,NA,"is",NA,NA,NA,"is",17
"5","furely","FM","RB","furely","furely","furely",1,"furely",NA,NA,"furely",NA,"furely",17
"6","an","APPR.An","DT","an",NA,"an",0,NA,"an",NA,NA,NA,"an",17
"7","object","FM","NN","object",NA,"object",0,NA,"object",NA,NA,NA,"object",17
"8","of","FM","IN","of","of","of",0,NA,"of",NA,NA,NA,"of",17
"9","contempt","FM","NN","contempt",NA,"contempt",0,NA,"contempt",NA,NA,NA,"contempt",17
"10","or","FM","CC","or",NA,"or",0,NA,"or",NA,NA,NA,"or",17
"11","furprize","FM","VV","furprize","furprize","furprize",1,"furprize",NA,NA,NA,NA,NA,17
"12",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA,",",",",17
"13","to","FM","TO","to",NA,"to",0,NA,"to",NA,NA,NA,"to",17
"14","ſee","FM","VV","see",NA,"see",0,NA,"see",NA,NA,NA,"see",17
"15","them","ADJA.Pos.Dat.Sg.Neut","PP","them",NA,"them",0,NA,"them",NA,NA,NA,"them",17
"16","neglecting","FM","VVG","neglecting",NA,"neglecting",0,NA,"neglecting",NA,NA,NA,"neglecting",17
"17","their","FM","PP$","their",NA,"their",0,NA,"their",NA,NA,NA,"their",17
"18","own","FM","JJ","own",NA,"own",0,NA,"own",NA,NA,NA,"own",17
"19","language","FM","NN","language",NA,"language",0,NA,"language",NA,NA,NA,"language",17
"20",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA,",",",",17
"21","as","ADV","IN","as",NA,"as",0,NA,"as",NA,NA,NA,"as",17
"22","not","ADJD.Pos","RB","not",NA,"not",0,NA,"not",NA,NA,NA,"not",17
"23","worth","FM","JJ","worth",NA,"worth",0,NA,"worth",NA,NA,NA,"worth",17
"24","cultivation","FM","NN","cultivation",NA,"cultivation",0,NA,"cultivation",NA,NA,NA,"cultivation",17
"25",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA,",",",",17
"26","when","FM","WRB","when",NA,"when",0,NA,"when",NA,NA,NA,"when",17
"27","the","FM","DT","the",NA,"the",0,NA,"the",NA,NA,NA,"the",17
"28","judicious","FM","JJ","judicious",NA,"judicious",0,NA,"judicious",NA,NA,NA,"judicious",17
"29","Spaniards","FM","NNS","Spaniards",NA,"Spaniards",1,"Spaniards",NA,NA,"Spaniards",NA,"Spaniards",17
"30","have","VFIN.Aux.1.Sg.Pres.Ind","VHP","have",NA,"have",0,NA,"have",NA,NA,NA,"have",17
"31","made","FM","VVN","made",NA,"made",0,NA,"made",NA,NA,NA,"made",17
"32","a","FM","DT","a",NA,"a",0,NA,"a",NA,NA,NA,"a",17
"33","dictionary","FM","NN","dictionary",NA,"dictionary",0,NA,"dictionary",NA,NA,NA,"dictionary",17
"34","of","FM","IN","of","of","of",0,NA,"of",NA,NA,NA,"of",17
"35","theirs","FM","PP","theirs",NA,"theirs",0,NA,"theirs",NA,NA,NA,"theirs",17
"36",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA,",",",",17
"37","containing","FM","VVG","containing",NA,"containing",0,NA,"containing",NA,NA,NA,"containing",17
"38","ſix","FM","NN","six",NA,"six",0,NA,"six",NA,NA,NA,"six",17
"39","volumes","FM","NNS","volumes",NA,"volumes",1,"volumes",NA,NA,"volumes",NA,"volumes",17
"40","in","FM","IN","in",NA,"in",0,NA,"in",NA,NA,NA,"in",17
"41","folio","FM","NN","folio","folio","folio",0,NA,"folio",NA,NA,NA,"folio",17
"42",";","SYM.Pun.Sent",":",";",NA,";",1,";",NA,NA,NA,";",";",17
"43","when","FM","WRB","when",NA,"when",0,NA,"when",NA,NA,NA,"when",17
"44","the","FM","DT","the",NA,"the",0,NA,"the",NA,NA,NA,"the",17
"45","French","N.Name.Nom.Sg.Masc","NP","French",NA,"French",0,NA,"French",NA,NA,NA,"French",17
"46","have","VFIN.Aux.2.Sg.Pres.Ind","VHP","have",NA,"have",0,NA,"have",NA,NA,NA,"have",17
"47","made","FM","VVN","made",NA,"made",0,NA,"made",NA,NA,NA,"made",17
"48","it","FM","PP","it",NA,"it",0,NA,"it",NA,NA,NA,"it",17
"49","a","FM","DT","a",NA,"a",0,NA,"a",NA,NA,NA,"a",17
"50","national","ADJD.Pos","JJ","national",NA,"national",0,NA,"national",NA,NA,NA,"national",17
"51","concern","VINF.Full.-","NN","concern",NA,"concern",0,NA,"concern",NA,NA,NA,"concern",17
"52","to","FM","TO","to",NA,"to",0,NA,"to",NA,NA,NA,"to",17
"53","ſpread","FM","JJ","spread",NA,"spread",0,NA,"spread",NA,NA,NA,"spread",17
"54","theis","FM","NNS","theis",NA,"theis",1,"theis",NA,NA,"theis",NA,"theis",17
"55","among","FM","IN","among",NA,"among",0,NA,"among",NA,NA,NA,"among",17
"56","all","FM","PDT","all",NA,"all",0,NA,"all",NA,NA,NA,"all",17
"57","the","FM","DT","the",NA,"the",0,NA,"the",NA,NA,NA,"the",17
"58","courts","FM","NNS","courts",NA,"courts",1,"courts",NA,NA,"courts",NA,"courts",17
"59","of","FM","IN","of","of","of",0,NA,"of",NA,NA,NA,"of",17
"60","Europe","N.Name.*.*.*","NP","Europe",NA,"Europe",0,NA,"Europe",NA,NA,NA,"Europe",17
"61",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA,",",",",17
"62","and","FM","CC","and",NA,"and",0,NA,"and",NA,NA,NA,"and",17
"63","have","VFIN.Aux.1.Sg.Pres.Ind","VHP","have",NA,"have",0,NA,"have",NA,NA,NA,"have",17
"64","taken","FM","VVN","taken",NA,"taken",0,NA,"taken",NA,NA,NA,"taken",17
"65","this","FM","DT","this",NA,"this",0,NA,"this",NA,NA,NA,"this",17
"66","as","ADV","IN","as",NA,"as",0,NA,"as",NA,NA,NA,"as",17
"67","one","FM","CD","one",NA,"one",0,NA,"one",NA,NA,NA,"one",17
"68","of","FM","IN","of","of","of",0,NA,"of",NA,NA,NA,"of",17
"69","their","FM","PP$","their",NA,"their",0,NA,"their",NA,NA,NA,"their",17
"70","routs","FM","NNS","routs",NA,"routs",1,"routs",NA,NA,"routs",NA,"routs",17
"71","to","FM","TO","to",NA,"to",0,NA,"to",NA,NA,NA,"to",17
"72","unverfal","FM","JJ","unverfal","unverfal","unverfal",1,"unverfal",NA,NA,NA,NA,NA,17
"73","empire","FM","NN","empire",NA,"empire",0,NA,"empire",NA,NA,NA,"empire",17
"74",".","SYM.Pun.Sent","SENT",".",NA,".",1,".",NA,NA,NA,".",".",17
"75","This","FM","DT","This",NA,"This",0,NA,"This",NA,NA,NA,"This",17
"76","neglect","FM","NN","neglect",NA,"neglect",0,NA,"neglect",NA,NA,NA,"neglect",17
"77","I","FM","PP","I",NA,"I",0,NA,"I",NA,NA,NA,"I",17
"78","have","VFIN.Aux.1.Sg.Pres.Ind","VHP","have",NA,"have",0,NA,"have",NA,NA,NA,"have",17
"79","among","FM","IN","among",NA,"among",0,NA,"among",NA,NA,NA,"among",17
"80","others","FM","NNS","others",NA,"others",0,NA,"others",NA,NA,NA,"others",17
"81","attempted","FM","VVN","attempted",NA,"attempted",0,NA,"attempted",NA,NA,NA,"attempted",17
"82","to","FM","TO","to",NA,"to",0,NA,"to",NA,NA,NA,"to",17
"83","obviate","FM","VV","obviate",NA,"obviate",0,NA,"obviate",NA,NA,NA,"obviate",17
"84",".","SYM.Pun.Sent","SENT",".",NA,".",1,".",NA,NA,NA,".",".",17
"85","“","FM","``","“",NA,"“",1,"“",NA,NA,NA,NA,NA,17
"86","Tongues","FM","NNS","Tongues",NA,"Tongues",0,NA,"Tongues",NA,NA,NA,"Tongues",17
"87",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA,",",",",17
"88","6","CARD","CD","6",NA,"6",1,"6",NA,NA,NA,NA,NA,17
"89","40","CARD","CD","40",NA,"40",0,NA,"40",NA,NA,NA,"40",17
"90","6","CARD","CD","6",NA,"6",1,"6",NA,NA,NA,NA,NA,17
"91","6","CARD","CD","6",NA,"6",1,"6",NA,NA,NA,NA,NA,17
"92",".","SYM.Pun.Sent","SENT",".",NA,".",1,".",NA,NA,NA,".",".",17
"93","(","SYM.Paren.Left","(","(",NA,"(",1,"(",NA,NA,NA,NA,NA,17
"94","fays","FM","VVZ","fays","fays","fays",1,"fays",NA,NA,NA,NA,NA,17
"95","the","FM","DT","the",NA,"the",0,NA,"the",NA,NA,NA,"the",17
"96","ingenious","FM","JJ","ingenious",NA,"ingenious",0,NA,"ingenious",NA,NA,NA,"ingenious",17
"97","Mr","FM","NN","Mr",NA,"Mr",0,NA,"Mr",NA,NA,NA,"Mr",17
"98",".","SYM.Pun.Sent","SENT",".",NA,".",1,".",NA,NA,NA,".",".",17
"99","Jobnſon","N.Reg.Nom.Pl.Fem","NP","Jobnson",NA,"Jobnson",1,"Jobnson",NA,NA,NA,NA,NA,17
"100",")","SYM.Paren.Right",")",")",NA,")",1,")",NA,NA,NA,NA,NA,17
"101","like","FM","IN","like",NA,"like",0,NA,"like",NA,NA,NA,"like",17
"102","governments","FM","NNS","governments",NA,"governments",1,"governments",NA,NA,"governments",NA,"governments",17
"103",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA,",",",",17
"104","have","VFIN.Aux.1.Sg.Pres.Ind","VHP","have",NA,"have",0,NA,"have",NA,NA,NA,"have",17
"105","a","FM","DT","a",NA,"a",0,NA,"a",NA,NA,NA,"a",17
"106","natural","FM","JJ","natural",NA,"natural",0,NA,"natural",NA,NA,NA,"natural",17
"107","tendency","FM","NN","tendency",NA,"tendency",0,NA,"tendency",NA,NA,NA,"tendency",17
"108","to","FM","TO","to",NA,"to",0,NA,"to",NA,NA,NA,"to",17
"109","degeneration","FM","NN","degeneration",NA,"degeneration",0,NA,"degeneration",NA,NA,NA,"degeneration",17
"110",".","SYM.Pun.Sent","SENT",".",NA,".",1,".",NA,NA,NA,".",".",17
"111","We","FM","PP","We",NA,"We",0,NA,"We",NA,NA,NA,"We",17
"112","have","VFIN.Aux.1.Sg.Pres.Ind","VHP","have",NA,"have",0,NA,"have",NA,NA,NA,"have",17
"113","long","FM","RB","long",NA,"long",0,NA,"long",NA,NA,NA,"long",17
"114","preferved","FM","VVN","preferved","preferved","preferved",1,"preferved",NA,NA,NA,NA,NA,17
"115","our","FM","PP$","our",NA,"our",0,NA,"our",NA,NA,NA,"our",17
"116","conſtitution","N.Reg.Acc.Pl.Fem","NN","constitution",NA,"constitution",0,NA,"constitution",NA,NA,NA,"constitution",17
"117",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA,",",",",17
"118","let","FM","VV","let",NA,"let",0,NA,"let",NA,NA,NA,"let",17
"119","us","FM","PP","us",NA,"us",0,NA,"us",NA,NA,NA,"us",17
"120","make","FM","VV","make",NA,"make",0,NA,"make",NA,NA,NA,"make",17
"121","ſome","FM","NN","some",NA,"some",0,NA,"some",NA,NA,NA,"some",17
"122","ſtruggles","FM","NNS","struggles",NA,"struggles",1,"struggles",NA,NA,"struggles",NA,"struggles",17
"123","for","FM","IN","for","for","for",0,NA,"for",NA,NA,NA,"for",17
"124","our","FM","PP$","our",NA,"our",0,NA,"our",NA,NA,NA,"our",17
"125","language","FM","NN","language",NA,"language",0,NA,"language",NA,NA,NA,"language",17
"126",".","SYM.Pun.Sent","SENT",".",NA,".",1,".",NA,NA,NA,".",".",17
"127","“","FM","``","“",NA,"“",1,"“",NA,NA,NA,NA,NA,17
"128","A","FM","DT","A",NA,"A",0,NA,"A",NA,NA,NA,"A",17
"129","noble","ADJA.Pos.Nom.Sg.Masc","JJ","noble",NA,"noble",0,NA,"noble",NA,NA,NA,"noble",17
"130","refolution","FM","NN","refolution","refolution","refolution",1,"refolution",NA,NA,NA,NA,NA,17
"131","this","FM","DT","this",NA,"this",0,NA,"this",NA,NA,NA,"this",17
"132",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA,",",",",17
"133","and","FM","CC","and",NA,"and",0,NA,"and",NA,NA,NA,"and",17
"134","whatever","FM","WDT","whatever",NA,"whatever",0,NA,"whatever",NA,NA,NA,"whatever",17
"135","may","FM","MD","may",NA,"may",0,NA,"may",NA,NA,NA,"may",17
"136","be","FM","VB","be",NA,"be",0,NA,"be",NA,NA,NA,"be",17
"137","my","FM","PP$","my",NA,"my",0,NA,"my",NA,NA,NA,"my",17
"138","ſtrength","FM","NN","strength",NA,"strength",0,NA,"strength",NA,NA,NA,"strength",17
"139",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA,",",",",17
"140","vet","FM","NN","vet",NA,"vet",0,NA,"vet",NA,NA,NA,"vet",17
"141","as","ADV","IN","as",NA,"as",0,NA,"as",NA,NA,NA,"as",17
"142","the","FM","DT","the",NA,"the",0,NA,"the",NA,NA,NA,"the",17
"143","ſame","FM","JJ","same",NA,"same",0,NA,"same",NA,NA,NA,"same",17
"144","ardour","FM","NN","ardour",NA,"ardour",0,NA,"ardour",NA,NA,NA,"ardour",17
"145",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA,",",",",17
"146","which","VFIN.Full.3.Sg.Past.Ind","WDT","which",NA,"which",0,NA,"which",NA,NA,NA,"which",17
"147","excited","FM","VVD","excited",NA,"excited",0,NA,"excited",NA,NA,NA,"excited",17
"148","him","FM","PP","him",NA,"him",0,NA,"him",NA,NA,NA,"him",17
"149",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA,",",",",17
"150","inlpires","ADJA.Pos.Nom.Sg.Neut","VVZ","inlpires",NA,"inlpires",1,"inlpires",NA,NA,NA,NA,NA,17
"151","me","FM","PP","me",NA,"me",0,NA,"me",NA,NA,NA,"me",17
"152",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA,",",",",17
"153","I","FM","PP","I",NA,"I",0,NA,"I",NA,NA,NA,"I",17
"154","offer","FM","VVP","offer","offer","offer",0,NA,"offer",NA,NA,NA,"offer",17
"155","myfelf","FM","NN","myfelf","myfelf","myfelf",1,"myfelf",NA,NA,NA,NA,NA,17
"156","a","FM","DT","a",NA,"a",0,NA,"a",NA,NA,NA,"a",17
"157","champion","FM","NN","champion",NA,"champion",0,NA,"champion",NA,NA,NA,"champion",17
"158","in","APPR.In","IN","in",NA,"in",0,NA,"in",NA,NA,NA,"in",17
"159","the","FM","DT","the",NA,"the",0,NA,"the",NA,NA,NA,"the",17
"160","ſame","FM","JJ","same",NA,"same",0,NA,"same",NA,NA,NA,"same",17
"161","glorious","FM","JJ","glorious",NA,"glorious",0,NA,"glorious",NA,NA,NA,"glorious",17
"162","caufe","VFIN.Full.3.Sg.Pres.Subj","NN","caufe","caufe","caufe",1,"caufe",NA,NA,NA,NA,NA,17
"163",";","SYM.Pun.Sent",":",";",NA,";",1,";",NA,NA,NA,";",";",17
"164","though","FM","RB","though",NA,"though",0,NA,"though",NA,NA,NA,"though",17
"165","perhaps","FM","RB","perhaps",NA,"perhaps",0,NA,"perhaps",NA,NA,NA,"perhaps",17
"166","with","FM","IN","with",NA,"with",0,NA,"with",NA,NA,NA,"with",17
"167","much","ADV","JJ","much",NA,"much",0,NA,"much",NA,NA,NA,"much",17
"168","inferior","ADJD.Pos","JJ","inferior","inferior","inferior",0,NA,"inferior",NA,NA,NA,"inferior",17
"169","abilities","VFIN.Full.3.Sg.Past.Ind","NNS","abilities",NA,"abilities",1,"abilities",NA,NA,"abilities",NA,"abilities",17
"170",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA,",",",",17
"171","yet","FM","RB","yet",NA,"yet",0,NA,"yet",NA,NA,NA,"yet",17
"172","being","FM","VBG","being",NA,"being",0,NA,"being",NA,NA,NA,"being",17
