"","tok","RF_PoStag","tree_PoStag","tok_2","f.s","tok_3","oed_check","oed_FALSE","oed_TRUE","oed_tt","oed_NNS","punct","tok.to.edit","pdf.page"
"1","PREFA","N.Name.*.*.*","NP","PREFA",NA,"PREFA",1,"PREFA",NA,NA,NA,NA,NA,8
"2","CE","N.Name.Nom.Sg.Neut","NP","CE",NA,"CE",0,NA,"CE",NA,NA,NA,"CE",8
"3",".","SYM.Pun.Sent","SENT",".",NA,".",1,".",NA,NA,NA,".",".",8
"4","K","N.Reg.Nom.Sg.*","NP","K",NA,"K",0,NA,"K",NA,NA,NA,"K",8
"5","nation","FM","NN","nation",NA,"nation",0,NA,"nation",NA,NA,NA,"nation",8
"6",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA,",",",",8
"7","whofe","FM","NN","whofe","whofe","whofe",1,"whofe",NA,NA,NA,NA,NA,8
"8","education","FM","NN","education",NA,"education",0,NA,"education",NA,NA,NA,"education",8
"9","is","FM","VBZ","is",NA,"is",0,NA,"is",NA,NA,NA,"is",8
"10","perhaps","FM","RB","perhaps",NA,"perhaps",0,NA,"perhaps",NA,NA,NA,"perhaps",8
"11","a","FM","DT","a",NA,"a",0,NA,"a",NA,NA,NA,"a",8
"12","little","FM","JJ","little",NA,"little",0,NA,"little",NA,NA,NA,"little",8
"13","too","ADV","RB","too",NA,"too",0,NA,"too",NA,NA,NA,"too",8
"14","much","ADV","RB","much",NA,"much",0,NA,"much",NA,NA,NA,"much",8
"15","neglected","FM","VVN","neglected",NA,"neglected",0,NA,"neglected",NA,NA,NA,"neglected",8
"16",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA,",",",",8
"17","may","FM","MD","may",NA,"may",0,NA,"may",NA,NA,NA,"may",8
"18","here","FM","RB","here",NA,"here",0,NA,"here",NA,NA,NA,"here",8
"19","find","FM","VV","find","find","find",0,NA,"find",NA,NA,NA,"find",8
"20","a","FM","DT","a",NA,"a",0,NA,"a",NA,NA,NA,"a",8
"21","familiar","FM","JJ","familiar","familiar","familiar",0,NA,"familiar",NA,NA,NA,"familiar",8
"22","and","FM","CC","and",NA,"and",0,NA,"and",NA,NA,NA,"and",8
"23","unaffected","FM","JJ","unaffected","unaffected","unaffected",0,NA,"unaffected",NA,NA,NA,"unaffected",8
"24","inſtructor","FM","NN","instructor",NA,"instructor",0,NA,"instructor",NA,NA,NA,"instructor",8
"25",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA,",",",",8
"26","lefs","FM","NNS","lefs","lefs","lefs",1,"lefs",NA,NA,"lefs",NA,"lefs",8
"27","ſolicitous","FM","JJ","solicitous",NA,"solicitous",0,NA,"solicitous",NA,NA,NA,"solicitous",8
"28","to","FM","TO","to",NA,"to",0,NA,"to",NA,NA,NA,"to",8
"29","diſplay","FM","VV","display",NA,"display",0,NA,"display",NA,NA,NA,"display",8
"30","his","FM","PP$","his",NA,"his",0,NA,"his",NA,NA,NA,"his",8
"31","own","FM","JJ","own",NA,"own",0,NA,"own",NA,NA,NA,"own",8
"32","abilities","FM","NNS","abilities",NA,"abilities",1,"abilities",NA,NA,"abilities",NA,"abilities",8
"33","than","VPP.Full.Psp","IN","than",NA,"than",0,NA,"than",NA,NA,NA,"than",8
"34","to","FM","TO","to",NA,"to",0,NA,"to",NA,NA,NA,"to",8
"35","improve","FM","VV","improve",NA,"improve",0,NA,"improve",NA,NA,NA,"improve",8
"36","theirs","FM","PP","theirs",NA,"theirs",0,NA,"theirs",NA,NA,NA,"theirs",8
"37",".","SYM.Pun.Sent","SENT",".",NA,".",1,".",NA,NA,NA,".",".",8
"38","As","FM","IN","As",NA,"As",0,NA,"As",NA,NA,NA,"As",8
"39","this","FM","DT","this",NA,"this",0,NA,"this",NA,NA,NA,"this",8
"40","work","FM","NN","work",NA,"work",0,NA,"work",NA,NA,NA,"work",8
"41","is","FM","VBZ","is",NA,"is",0,NA,"is",NA,NA,NA,"is",8
"42","chiefly","FM","RB","chiefly","chiefly","chiefly",0,NA,"chiefly",NA,NA,NA,"chiefly",8
"43","calculated","FM","VVN","calculated",NA,"calculated",0,NA,"calculated",NA,NA,NA,"calculated",8
"44","for","FM","IN","for","for","for",0,NA,"for",NA,NA,NA,"for",8
"45","the","FM","DT","the",NA,"the",0,NA,"the",NA,NA,NA,"the",8
"46","youth","FM","NN","youth",NA,"youth",0,NA,"youth",NA,NA,NA,"youth",8
"47","of","FM","IN","of","of","of",0,NA,"of",NA,NA,NA,"of",8
"48","both","FM","DT","both",NA,"both",0,NA,"both",NA,NA,NA,"both",8
"49","ſexes","FM","NNS","sexes",NA,"sexes",1,"sexes",NA,NA,"sexes",NA,"sexes",8
